Test Time,Storage Modulus,Loss Modulus
71.02,2.2248,1.832
101,3.7368,2.1795
131,5.4892,2.4661
161,7.4119,2.7034
191,9.4601,2.9205
221,11.606,3.126
251,13.825,3.3455
281,16.11,3.5405
311,18.435,3.7305
341,20.827,3.9394
371,23.217,4.129
401,25.695,4.3437
431,28.212,4.5675
461,30.813,4.7953
491,33.484,5.0451
521,36.212,5.2814
551,38.977,5.5581
581,41.825,5.8444
611,44.755,6.1336
641,47.77,6.4634
671,50.89,6.7796
701,54.046,7.1367
731,57.039,7.4702
761,60.201,7.8291
791,63.486,8.2339
821,66.197,8.5408
851,68.775,8.8546
881,71.859,9.3758
911,74.836,9.7532
941,77.754,10.195
971,80.823,10.708
1001,83.731,11.068
1031,86.651,11.72
1061,89.316,12.178
1091,92.168,12.707
1121,95.115,13.434
1151,98.386,14.194
1181,101.42,14.776
1211,104.78,15.734
1241,108.52,16.642
1271,111.59,17.491
1301,115.09,18.782
1331,118.96,20.245
1361,123.59,22.08
1391,129.61,25.22
1421,137.52,28.968
1451,145.19,33.301
1481,155.67,38.765
1511,168.29,45.806
1541,183.79,54.243
1571,201.98,64.346
1601,226.96,77.929
1631,253.04,91.789
1661,281.27,106.65
1691,328.6,129.68
1721,366.84,148.42
1751,413.99,171.28
1781,474,200.14
1811,537.42,231.06
1841,609.93,266.09
1871,713.58,310.78
1901,824.29,357.08
1931,944.85,405.79
1961,1086.2,458.56
1991,1219.2,508.1
2021,1388,567.5
2051,1566.6,626.88
2081,1740.8,683.12
2111,1943,746.27
2141,2173.5,815.26
2171,2387.2,877.42
2201,2635.2,944.2
2231,2890,1012.8
2261,3152,1080.3
2291,3457.1,1156.9
2321,3757.3,1230.8
2351,4048.9,1302.3
2381,4434.3,1389.6
2411,4799.6,1469.8
2441,5183.5,1552.1
2471,5586.8,1632.2
2501,6002.5,1706.4
2531,6417,1780.8
2561,6913.5,1859.7
2591,7342.4,1928.1
2621,7744.5,1988.8
2651,8244.7,2062.7
2681,8667.7,2118.5
2711,9095.7,2176.6
2741,9578.9,2236.9
2771,10004,2289.8
2801,10432,2337.6
2831,10897,2392.9
2861,11296,2438
2891,11702,2479.7
2921,12181,2527.5
2951,12563,2565.9
2981,12996,2606.5
3011,13421,2648.5
3041,13847,2685.2
3071,14219,2719.3
3101,14664,2765.5
3131,15046,2805.7
3161,15459,2856.1
3191,15863,2903.3
3221,16225,2953.1
3251,16639,3021.4
3281,17016,3080.4
3311,17375,3147.9
3341,17768,3222.6
3371,18139,3277.3
3401,18533,3361
3431,18897,3414.4
3461,19312,3497.9
3491,19654,3551.8
3521,20058,3635.2
3551,20419,3705.1
3581,20873,3808.1
3611,21258,3894.2
3641,21670,4003
