Test Time,Storage Modulus,Loss Modulus
44.12,4.1325,2.0407
74.12,5.3138,2.255
104.1,6.6248,2.4484
134.1,8.0944,2.6224
164.1,9.5431,2.7663
194.1,11.008,2.9129
224.1,12.544,3.0306
254.1,14.07,3.1505
284.1,15.655,3.2842
314.1,17.215,3.3996
344.1,18.806,3.5314
374.1,20.367,3.6413
404.1,21.889,3.7638
434.1,23.475,3.9048
464.1,25.138,4.0351
494.1,26.819,4.1894
524.1,28.512,4.3546
554.1,30.274,4.511
584.1,32.077,4.6825
614.1,33.899,4.8865
644.1,35.847,5.114
674.1,37.913,5.434
704.1,39.821,5.6057
734.1,41.905,5.8352
764.1,44.084,6.1456
794.1,46.315,6.48
824.1,48.454,6.8136
854.1,50.645,7.1708
884.1,52.836,7.531
914.1,55.079,7.9491
944.1,57.387,8.3716
974.1,59.43,8.7809
1004,61.407,9.1446
1034,63.475,9.5836
1064,65.504,10.455
1094,68.099,10.732
1124,70.725,11.41
1154,73.226,12.103
1184,75.904,13.093
1214,78.31,13.987
1244,81.68,15.407
1274,84.883,16.732
1304,88.697,18.232
1334,93.527,20.942
1364,98.317,23.388
1394,104.45,26.428
1424,111.58,29.747
1454,119.9,33.689
1484,127.42,37.519
1514,137.2,41.783
1544,148.14,46.548
1574,158.79,51.204
1604,171.44,56.788
1634,185.95,63.012
1664,198.5,68.573
1694,213.48,75.427
1724,232.14,84.085
1754,252.56,93.811
1784,270.35,102.43
1814,290.63,111.98
1844,312.88,122.54
1874,337.36,133.18
1904,359.92,143.49
1934,393.64,158.33
1964,427.09,172.64
1994,465.38,188.07
2024,507.84,205.85
2054,560.42,224.07
2084,618.79,246.77
2114,698.55,272.9
2144,788.6,302.02
2174,874.35,328.94
2204,974.42,362.69
2234,1092,399.28
2264,1215.4,435.97
2294,1344.7,469.34
2324,1499.9,513.48
2354,1669.5,565.05
2384,1893.3,618.24
2414,2131.5,672.29
2444,2363.2,720.69
2474,2637.8,786.72
2504,2911.5,844.24
2534,3212.1,913.16
2564,3497.9,969.99
2594,3782.1,1025.2
2624,4059.7,1076.5
2654,4366.5,1133
2684,4664.9,1189.4
2714,4977.7,1243.5
2744,5303.8,1297.1
2774,5645.5,1353.3
2804,5993.5,1414.6
2834,6318.2,1467.2
2864,6698.3,1533
2894,7052,1593.3
2924,7403.8,1652.8
2954,7430.5,1659.3
2984,7787.2,1706.8
3014,8076.6,1758.3
3044,8458.9,1814.7
3074,8818.1,1866.7
3104,9248.3,1928.4
3134,9625.8,1974.6
3164,10123,2042.1
3194,10487,2088.8
3224,10916,2157.1
3254,11332,2217.3
3284,11801,2281.1
3314,12175,2334
3344,12584,2391.5
3374,12970,2457
3404,13435,2539.9
3434,13926,2597.3
3464,14213,2675.1
3494,14751,2734.8
3524,15313,2807.8
3554,15947,2906.8
3584,16516,2997.4
3614,17163,3110.5
