Test Time,Storage Modulus,Loss Modulus
45.9,17.776,3.2773
75.9,26.361,3.6472
105.9,35.55,3.9921
135.9,44.584,4.3064
165.9,53.228,4.5921
195.9,61.22,4.8581
225.9,68.736,5.0714
255.9,75.77,5.2763
285.9,82.355,5.5056
315.9,88.52,5.6917
345.9,94.173,5.8073
375.9,99.715,5.9985
405.9,104.93,6.1696
435.9,109.6,6.2801
465.9,113.9,6.3427
495.9,118.32,6.6777
525.9,122.1,6.744
555.9,125.96,6.7578
585.9,129.68,6.8297
615.9,132.89,6.9512
645.9,136.22,7.3402
675.9,139.31,7.2674
705.9,142.1,7.4161
735.9,144.81,7.5963
765.9,147.54,7.5113
795.9,150.33,7.6764
825.9,153.21,7.5399
855.9,155.15,7.692
885.9,157.94,7.8028
915.9,159.97,8.0878
945.9,162.12,7.9869
975.9,164.34,8.1456
1006,166.27,8.3485
1036,168.59,8.2784
1066,170.22,8.1301
1096,172.44,8.4062
1126,173.71,8.5178
1156,175.55,8.585
1186,177.56,8.7159
1216,179.1,8.867
1246,180.64,8.6649
1276,182.67,8.9866
1306,184.54,9.0948
1336,186.27,8.9425
1366,188.47,9.163
1396,190.12,9.2721
1426,191.77,9.3655
1456,193.5,9.4372
1486,194.05,9.515
1516,195.58,9.6009
1546,197,9.7047
1576,198.14,9.763
1606,199.54,9.8662
1636,200.8,9.9173
1666,202.2,9.9911
1696,203.45,10.104
1726,204.61,10.174
1756,205.9,10.248
1786,207.15,10.376
1816,208.57,10.491
1846,209.7,10.537
1876,210.75,10.693
1906,211.74,10.777
1936,212.85,10.907
1966,213.76,11.021
1996,215.07,11.102
2026,216.25,11.206
2056,216.72,11.327
2086,217.91,11.438
2116,219.2,11.585
2146,220.56,11.702
2176,221.71,11.942
2206,222.77,12.014
2236,223.95,12.237
2266,225.31,12.417
2296,226.51,12.629
2326,227.56,12.825
2356,228.52,13.136
2386,229.66,13.348
2416,230.93,13.632
2446,232.28,13.939
2476,233.76,14.216
2506,235.46,14.606
2536,236.83,14.824
2566,238.2,15.302
2596,239.71,15.723
2626,240.95,16.184
2656,242.22,16.567
2686,243.64,17.09
2716,245.43,17.622
2746,247.33,18.223
2776,249.53,18.964
2806,251.84,19.71
2836,254.15,20.665
2866,256.86,21.835
2896,258.45,22.306
2926,261.14,23.549
2956,263.43,24.541
2986,266,25.543
3016,268.95,26.894
3046,272.19,28.187
3076,275.72,29.622
3106,280.11,31.445
3136,284.38,33.112
3166,288.94,34.918
3196,294.22,37.112
3226,298.69,39.035
3256,303.73,41.179
3286,309.9,43.713
3316,316.01,46.168
3346,322.09,48.892
3376,329.68,52.031
3406,336.04,54.702
3436,343.22,57.757
3466,351.78,61.491
3496,359.43,64.966
3526,368.98,69.368
3556,379.2,73.75
3586,389.45,78.058
3616,401.44,83.237
