Test Time,Storage Modulus,Loss Modulus
48.26,28.838,3.7856
78.26,37.549,3.934
108.3,44.648,4.1507
138.3,50.09,4.1113
168.3,54.485,4.2092
198.3,58.292,4.3379
228.3,61.43,4.4289
258.3,64.208,4.3801
288.3,66.974,4.5722
318.3,69.935,4.5852
348.3,72.524,4.5237
378.3,75.364,4.5869
408.3,78.048,4.6037
438.3,80.755,4.6782
468.3,83.502,4.6702
498.3,85.994,4.765
528.3,88.545,4.6053
558.3,91.231,4.7185
588.3,93.74,4.7058
618.3,95.694,4.7312
648.3,98.292,4.664
678.3,100.23,4.6793
708.3,102.85,4.7746
738.3,104.96,4.9402
768.3,106.87,4.991
798.3,108.77,5.0071
828.3,110.85,5.1071
858.3,112.98,5.0597
888.3,114.42,5.3479
918.3,116.02,5.0555
948.3,118.19,5.3124
978.3,119.6,5.2053
1008,121.6,5.1184
1038,122.78,5.2953
1068,124.2,5.6145
1098,125.66,5.6655
1128,127.28,5.2625
1158,128.81,5.6349
1188,129.88,5.5611
1218,130.32,5.7669
1248,131.7,5.6258
1278,133.32,5.998
1308,134.43,5.8185
1338,135.43,6.2054
1368,137.14,6.0349
1398,138.37,6.1654
1428,139.3,6.2534
1458,140.35,6.3717
1488,141.36,6.5457
1518,142.66,6.7472
1548,143.92,6.8587
1578,144.8,7.0737
1608,146.17,7.511
1638,147.76,7.7744
1668,149.33,8.169
1698,151.75,9.1859
1728,154.77,10.503
1758,159.56,13.286
1788,167.88,18.86
1818,182.79,28.547
1848,214.18,52.208
1878,282.58,100.14
1908,418.41,177.91
1938,654.66,280.03
1968,939.07,395.32
1998,1353,534.88
2028,1852.7,686.62
2058,2445.7,837.33
2088,3113.7,984.49
2118,3855.2,1132.1
2148,4781.6,1280
2178,5780.8,1415.4
2208,6930.9,1530.4
2238,8086.6,1613.2
2268,9199.5,1658.4
2298,10308,1689.1
2328,11304,1675.6
2358,12137,1643.9
2388,12909,1606.8
2418,13560,1578.9
2448,14167,1529.5
2478,14703,1492.8
2508,15165,1461.5
2538,15595,1424.1
2568,15954,1385.5
2598,16243,1354.8
2628,16517,1323.6
2658,16823,1299.8
2688,17061,1256.7
2718,17310,1228.3
2748,17530,1206.6
2778,17732,1175.4
2808,17931,1145.7
2838,18115,1109.6
2868,18288,1100.7
2898,18421,1082.1
2928,18479,1091.2
2958,18067,1089.7
2988,18162,1068.9
3018,18271,1046.8
3048,18400,1030.2
3078,18516,1009.8
3108,18635,989.86
3138,18743,982.2
3168,18857,966.69
3198,18962,945.9
3228,19043,925.31
3258,19142,911.6
3288,19241,898.45
3318,19329,887.4
3348,19423,867.77
3378,19502,860.23
3408,19571,849.29
3438,19643,842.53
3468,19728,826.02
3498,19787,831.36
3528,19851,806.94
3558,19914,803.21
3588,19976,793.72
3618,20056,787.96
