SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,stress,strain
70Compression,1-Preload,0.000,4.92,-0.001,-0.014,-0.17825353626292278,-0.0002032520325203252
70Compression,1-Compress,0.010,4.919,-0,-0.014,-0.17825353626292278,-0.0
70Compression,1-Compress,1.010,4.861,0.058,0.002,0.025464790894703253,0.011788617886178862
70Compression,1-Compress,2.010,4.805,0.114,0.035,0.445633840657307,0.023170731707317073
70Compression,1-Compress,3.010,4.747,0.172,0.052,0.6620845632622845,0.034959349593495934
70Compression,1-Compress,4.010,4.689,0.23,0.052,0.6620845632622845,0.0467479674796748
70Compression,1-Compress,5.010,4.633,0.286,0.068,0.8658028904199107,0.05813008130081301
70Compression,1-Compress,6.010,4.575,0.344,0.084,1.0695212175775366,0.06991869918699187
70Compression,1-Compress,7.010,4.517,0.402,0.068,0.8658028904199107,0.08170731707317073
70Compression,1-Compress,8.010,4.459,0.46,0.101,1.2859719401825145,0.0934959349593496
70Compression,1-Compress,9.010,4.403,0.516,0.117,1.4896902673401404,0.10487804878048781
70Compression,1-Compress,10.010,4.345,0.574,0.117,1.4896902673401404,0.11666666666666665
70Compression,1-Compress,11.010,4.288,0.631,0.133,1.6934085944977666,0.12825203252032522
70Compression,1-Compress,12.010,4.23,0.689,0.166,2.11357764426037,0.14004065040650407
70Compression,1-Compress,13.010,4.173,0.746,0.150,1.9098593171027438,0.15162601626016262
70Compression,1-Compress,14.010,4.116,0.803,0.166,2.11357764426037,0.16321138211382116
70Compression,1-Compress,15.010,4.058,0.861,0.199,2.533746694022974,0.175
70Compression,1-Compress,16.010,4,0.919,0.215,2.7374650211805993,0.18678861788617887
70Compression,1-Compress,17.010,3.944,0.975,0.199,2.533746694022974,0.19817073170731708
70Compression,1-Compress,18.010,3.886,1.033,0.232,2.9539157437855774,0.2099593495934959
70Compression,1-Compress,19.010,3.828,1.091,0.248,3.1576340709432036,0.2217479674796748
70Compression,1-Compress,20.010,3.772,1.147,0.248,3.1576340709432036,0.233130081300813
70Compression,1-Compress,21.010,3.714,1.205,0.264,3.3613523981008298,0.24491869918699188
70Compression,1-Compress,22.010,3.656,1.263,0.297,3.7815214478634327,0.25670731707317074
70Compression,1-Compress,23.010,3.598,1.321,0.297,3.7815214478634327,0.2684959349593496
70Compression,1-Compress,24.010,3.542,1.377,0.297,3.7815214478634327,0.27987804878048783
70Compression,1-Compress,25.010,3.484,1.435,0.330,4.2016904976260365,0.2916666666666667
70Compression,1-Compress,26.010,3.427,1.492,0.363,4.62185954738864,0.30325203252032523
70Compression,1-Compress,27.010,3.369,1.55,0.346,4.405408824783663,0.3150406504065041
70Compression,1-Compress,28.010,3.313,1.606,0.379,4.8255778745462665,0.3264227642276423
70Compression,1-Compress,29.010,3.255,1.664,0.412,5.24574692430887,0.3382113821138211
70Compression,1-Compress,30.010,3.197,1.722,0.412,5.24574692430887,0.35
70Compression,1-Compress,31.010,3.139,1.78,0.428,5.449465251466496,0.3617886178861789
70Compression,1-Compress,32.010,3.083,1.836,0.461,5.8696343012291,0.37317073170731707
70Compression,1-Compress,33.010,3.025,1.894,0.494,6.289803350991703,0.3849593495934959
70Compression,1-Compress,34.010,2.967,1.952,0.494,6.289803350991703,0.3967479674796748
