SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,stress,strain
70Compression,1-Preload,0.000,3.831,-0.001,0.001,0.012732395447351627,-0.00026102845210127906
70Compression,1-Compress,0.010,3.83,-0,0.001,0.012732395447351627,-0.0
70Compression,1-Compress,1.010,3.786,0.044,-0.016,-0.20371832715762603,0.011485251892456277
70Compression,1-Compress,2.010,3.741,0.089,-0.016,-0.20371832715762603,0.023231532237013835
70Compression,1-Compress,3.010,3.695,0.135,0.017,0.21645072260497766,0.035238841033672676
70Compression,1-Compress,4.010,3.652,0.178,0.001,0.012732395447351627,0.04646306447402767
70Compression,1-Compress,5.010,3.606,0.224,-0.016,-0.20371832715762603,0.05847037327068651
70Compression,1-Compress,6.010,3.563,0.267,0.017,0.21645072260497766,0.06969459671104151
70Compression,1-Compress,7.010,3.517,0.313,0.017,0.21645072260497766,0.08170190550770035
70Compression,1-Compress,8.010,3.47,0.36,0.001,0.012732395447351627,0.09397024275646045
70Compression,1-Compress,9.010,3.427,0.403,0.001,0.012732395447351627,0.10519446619681547
70Compression,1-Compress,10.010,3.381,0.449,0.017,0.21645072260497766,0.1172017749934743
70Compression,1-Compress,11.010,3.338,0.492,0.001,0.012732395447351627,0.1284259984338293
70Compression,1-Compress,12.010,3.292,0.538,0.001,0.012732395447351627,0.14043330723048814
70Compression,1-Compress,13.010,3.247,0.583,0.017,0.21645072260497766,0.15217958757504568
70Compression,1-Compress,14.010,3.203,0.627,0.001,0.012732395447351627,0.16366483946750196
70Compression,1-Compress,15.010,3.158,0.672,0.001,0.012732395447351627,0.17541111981205953
70Compression,1-Compress,16.010,3.114,0.716,0.017,0.21645072260497766,0.18689637170451578
70Compression,1-Compress,17.010,3.069,0.761,0.017,0.21645072260497766,0.19864265204907336
70Compression,1-Compress,18.010,3.023,0.807,0.001,0.012732395447351627,0.2106499608457322
70Compression,1-Compress,19.010,2.98,0.85,0.017,0.21645072260497766,0.22187418428608718
70Compression,1-Compress,20.010,2.934,0.896,0.017,0.21645072260497766,0.23388149308274603
70Compression,1-Compress,21.010,2.891,0.939,0.001,0.012732395447351627,0.245105716523101
70Compression,1-Compress,22.010,2.845,0.985,0.001,0.012732395447351627,0.2571130253197599
70Compression,1-Compress,23.010,2.8,1.03,0.033,0.4201690497626037,0.2688593056643174
70Compression,1-Compress,24.010,2.756,1.074,0.017,0.21645072260497766,0.28034455755677373
70Compression,1-Compress,25.010,2.711,1.119,0.017,0.21645072260497766,0.2920908379013312
70Compression,1-Compress,26.010,2.667,1.163,0.033,0.4201690497626037,0.30357608979378753
70Compression,1-Compress,27.010,2.622,1.208,0.033,0.4201690497626037,0.3153223701383451
70Compression,1-Compress,28.010,2.577,1.253,0.017,0.21645072260497766,0.3270686504829026
70Compression,1-Compress,29.010,2.533,1.297,0.033,0.4201690497626037,0.3385539023753589
70Compression,1-Compress,30.010,2.488,1.342,0.033,0.4201690497626037,0.3503001827199165
70Compression,1-Compress,31.010,2.444,1.386,0.017,0.21645072260497766,0.3617854346123727
70Compression,1-Compress,32.010,2.398,1.432,0.017,0.21645072260497766,0.37379274340903157
70Compression,1-Compress,33.010,2.353,1.477,0.033,0.4201690497626037,0.38553902375358917
70Compression,1-Compress,34.010,2.309,1.521,0.017,0.21645072260497766,0.3970242756460454
70Compression,1-Compress,35.010,2.264,1.566,0.033,0.4201690497626037,0.40877055599060297
70Compression,1-Compress,36.010,2.22,1.61,0.050,0.6366197723675814,0.4202558078830593
70Compression,1-Compress,37.010,2.175,1.655,0.050,0.6366197723675814,0.4320020882276168
70Compression,1-Compress,38.010,2.13,1.7,0.033,0.4201690497626037,0.44374836857217437
70Compression,1-Compress,39.010,2.086,1.744,0.066,0.8403380995252074,0.4552336204646307
70Compression,1-Compress,40.010,2.041,1.789,0.066,0.8403380995252074,0.46697990080918816
70Compression,1-Compress,41.010,1.997,1.833,0.050,0.6366197723675814,0.47846515270164447
70Compression,1-Compress,42.010,1.952,1.878,0.050,0.6366197723675814,0.490211433046202
70Compression,1-Compress,43.010,1.906,1.924,0.083,1.056788822130185,0.5022187418428609
70Compression,1-Compress,44.010,1.863,1.967,0.066,0.8403380995252074,0.5134429652832159
70Compression,1-Compress,45.010,1.817,2.013,0.066,0.8403380995252074,0.5254502740798747
70Compression,1-Compress,46.010,1.773,2.057,0.083,1.056788822130185,0.536935525972331
70Compression,1-Compress,47.010,1.728,2.102,0.099,1.2605071492878113,0.5486818063168886
70Compression,1-Compress,48.010,1.683,2.147,0.083,1.056788822130185,0.5604280866614461
70Compression,1-Compress,49.010,1.639,2.191,0.115,1.4642254764454372,0.5719133385539024
70Compression,1-Compress,50.010,1.594,2.236,0.115,1.4642254764454372,0.58365961889846
70Compression,1-Compress,51.010,1.55,2.28,0.115,1.4642254764454372,0.5951448707909162
70Compression,1-Compress,52.010,1.505,2.325,0.115,1.4642254764454372,0.6068911511354739
70Compression,1-Compress,53.010,1.459,2.371,0.148,1.8843945262080406,0.6188984599321327
70Compression,1-Compress,54.010,1.416,2.414,0.148,1.8843945262080406,0.6301226833724877
70Compression,1-Compress,55.010,1.37,2.46,0.148,1.8843945262080406,0.6421299921691465
70Compression,1-Compress,56.010,1.327,2.503,0.197,2.5082819031282706,0.6533542156095015
70Compression,1-Compress,57.010,1.281,2.549,0.214,2.724732625733248,0.6653615244061603
70Compression,1-Compress,58.010,1.236,2.594,0.214,2.724732625733248,0.6771078047507177
70Compression,1-Compress,59.010,1.192,2.638,0.263,3.3486200026534783,0.688593056643174
up 250mm in 30s,1-Preload,60.000,1.15,0.022,0.279,3.552338329811104,0.005742625946228139
up 250mm in 30s,1-Compress,60.010,1.172,-0,0.246,3.1321692800485,-0.0
up 250mm in 30s,1-Compress,61.010,9.48,-8.308,-0.016,-0.20371832715762603,-2.1686243800574263
up 250mm in 30s,1-Compress,62.010,17.834,-16.662,0.001,0.012732395447351627,-4.349256068911511
up 250mm in 30s,1-Compress,63.010,26.191,-25.019,0.001,0.012732395447351627,-6.5306708431219
up 250mm in 30s,1-Compress,64.010,34.545,-33.373,-0.016,-0.20371832715762603,-8.711302531975985
up 250mm in 30s,1-Compress,65.010,42.902,-41.73,0.001,0.012732395447351627,-10.892717306186373
up 250mm in 30s,1-Compress,66.010,51.258,-50.086,0.017,0.21645072260497766,-13.073871051944662
up 250mm in 30s,1-Compress,67.010,59.613,-58.441,0.132,1.6806761990504149,-15.254763769250848
up 250mm in 30s,1-Compress,68.010,67.969,-66.797,-0.016,-0.20371832715762603,-17.435917515009134
up 250mm in 30s,1-Compress,69.010,76.323,-75.151,0.001,0.012732395447351627,-19.61654920386322
up 250mm in 30s,1-Compress,70.010,84.68,-83.508,0.017,0.21645072260497766,-21.79796397807361
up 250mm in 30s,1-Compress,71.010,93.036,-91.864,-0.016,-0.20371832715762603,-23.979117723831898
up 250mm in 30s,1-Compress,72.010,101.391,-100.219,0.001,0.012732395447351627,-26.160010441138084
up 250mm in 30s,1-Compress,73.010,109.747,-108.575,0.001,0.012732395447351627,-28.34116418689637
up 250mm in 30s,1-Compress,74.010,118.102,-116.93,-0.016,-0.20371832715762603,-30.52205690420256
up 250mm in 30s,1-Compress,75.010,126.458,-125.286,0.001,0.012732395447351627,-32.703210649960845
up 250mm in 30s,1-Compress,76.010,134.813,-133.641,0.017,0.21645072260497766,-34.88410336726703
up 250mm in 30s,1-Compress,77.010,143.169,-141.997,0.001,0.012732395447351627,-37.065257113025325
up 250mm in 30s,1-Compress,78.010,151.525,-150.353,0.001,0.012732395447351627,-39.24641085878361
up 250mm in 30s,1-Compress,79.010,159.88,-158.708,0.001,0.012732395447351627,-41.42730357608979
up 250mm in 30s,1-Compress,80.010,168.236,-167.064,0.017,0.21645072260497766,-43.60845732184808
up 250mm in 30s,1-Compress,81.010,176.591,-175.419,0.001,0.012732395447351627,-45.78935003915427
up 250mm in 30s,1-Compress,82.010,184.947,-183.775,-0.016,-0.20371832715762603,-47.97050378491256
up 250mm in 30s,1-Compress,83.010,193.303,-192.131,0.017,0.21645072260497766,-50.151657530670846
up 250mm in 30s,1-Compress,84.010,201.658,-200.486,0.001,0.012732395447351627,-52.332550247977025
up 250mm in 30s,1-Compress,85.010,210.014,-208.842,-0.016,-0.20371832715762603,-54.51370399373532
up 250mm in 30s,1-Compress,86.010,218.369,-217.197,0.001,0.012732395447351627,-56.694596711041505
up 250mm in 30s,1-Compress,87.010,226.725,-225.553,0.017,0.21645072260497766,-58.87575045679979
up 250mm in 30s,1-Compress,88.010,235.081,-233.909,-0.016,-0.20371832715762603,-61.05690420255808
up 250mm in 30s,1-Compress,89.010,243.436,-242.264,0.017,0.21645072260497766,-63.237796919864266
up 250mm in 30s,1-Recover,90.000,251.15,-249.978,0.017,0.21645072260497766,-65.25137039937353
up 250mm in 30s,1-Recover,90.000,251.15,-249.978,0.017,0.21645072260497766,-65.25137039937353
