SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,stress,strain
70Compression,1-Compress,0.000,4.68,-0,0.035,0.445633840657307,-0.0
70Compression,1-Compress,1.000,4.627,0.053,0.052,0.6620845632622845,0.011324786324786324
70Compression,1-Compress,2.000,4.572,0.108,0.052,0.6620845632622845,0.023076923076923078
70Compression,1-Compress,3.000,4.517,0.163,0.052,0.6620845632622845,0.03482905982905983
70Compression,1-Compress,4.000,4.463,0.217,0.084,1.0695212175775366,0.04636752136752137
70Compression,1-Compress,5.000,4.408,0.272,0.068,0.8658028904199107,0.05811965811965813
70Compression,1-Compress,6.000,4.353,0.327,0.084,1.0695212175775366,0.06987179487179487
70Compression,1-Compress,7.000,4.298,0.382,0.117,1.4896902673401404,0.08162393162393163
70Compression,1-Compress,8.000,4.244,0.436,0.117,1.4896902673401404,0.09316239316239316
70Compression,1-Compress,9.000,4.189,0.491,0.117,1.4896902673401404,0.10491452991452992
70Compression,1-Compress,10.000,4.134,0.546,0.150,1.9098593171027438,0.11666666666666668
70Compression,1-Compress,11.000,4.08,0.6,0.150,1.9098593171027438,0.12820512820512822
70Compression,1-Compress,12.000,4.025,0.655,0.133,1.6934085944977666,0.13995726495726496
70Compression,1-Compress,13.000,3.97,0.71,0.150,1.9098593171027438,0.1517094017094017
70Compression,1-Compress,14.000,3.916,0.764,0.183,2.3300283668653474,0.16324786324786325
70Compression,1-Compress,15.000,3.861,0.819,0.183,2.3300283668653474,0.175
70Compression,1-Compress,16.000,3.806,0.874,0.183,2.3300283668653474,0.18675213675213675
70Compression,1-Compress,17.000,3.752,0.928,0.232,2.9539157437855774,0.1982905982905983
70Compression,1-Compress,18.000,3.697,0.983,0.232,2.9539157437855774,0.21004273504273505
70Compression,1-Compress,19.000,3.642,1.038,0.232,2.9539157437855774,0.2217948717948718
70Compression,1-Compress,20.000,3.588,1.092,0.264,3.3613523981008298,0.23333333333333336
70Compression,1-Compress,21.000,3.534,1.146,0.281,3.5778031207058074,0.24487179487179486
70Compression,1-Compress,22.000,3.48,1.2,0.264,3.3613523981008298,0.25641025641025644
70Compression,1-Compress,23.000,3.425,1.255,0.281,3.5778031207058074,0.26816239316239315
70Compression,1-Compress,24.000,3.37,1.31,0.314,3.997972170468411,0.2799145299145299
70Compression,1-Compress,25.000,3.316,1.364,0.314,3.997972170468411,0.2914529914529915
70Compression,1-Compress,26.000,3.261,1.419,0.330,4.2016904976260365,0.30320512820512824
70Compression,1-Compress,27.000,3.206,1.474,0.363,4.62185954738864,0.31495726495726495
70Compression,1-Compress,28.000,3.152,1.528,0.379,4.8255778745462665,0.3264957264957265
70Compression,1-Compress,29.000,3.097,1.583,0.379,4.8255778745462665,0.33824786324786327
70Compression,1-Compress,30.000,3.042,1.638,0.428,5.449465251466496,0.35
70Compression,1-Compress,31.000,2.988,1.692,0.445,5.665915974071474,0.36153846153846153
70Compression,1-Compress,32.000,2.933,1.747,0.461,5.8696343012291,0.37329059829059835
70Compression,1-Compress,33.000,2.878,1.802,0.477,6.0733526283867265,0.38504273504273506
70Compression,1-Compress,34.000,2.823,1.857,0.527,6.7099724007543085,0.39679487179487183
70Compression,1-Compress,35.000,2.769,1.911,0.543,6.913690727911934,0.4083333333333334
70Compression,1-Compress,36.000,2.714,1.966,0.559,7.11740905506956,0.4200854700854701
70Compression,1-Compress,37.000,2.659,2.021,0.625,7.957747154594767,0.43183760683760686
70Compression,1-Compress,38.000,2.605,2.075,0.674,8.581634531514997,0.44337606837606847
70Compression,1-Compress,39.000,2.55,2.13,0.690,8.785352858672622,0.4551282051282051
70Compression,1-Compress,40.000,2.495,2.185,0.739,9.409240235592852,0.46688034188034194
70Compression,1-Compress,41.000,2.442,2.238,0.789,10.045860007960435,0.4782051282051282
70Compression,1-Compress,42.000,2.388,2.292,0.821,10.453296662275685,0.4897435897435897
70Compression,1-Compress,43.000,2.333,2.347,0.870,11.077184039195917,0.5014957264957265
70Compression,1-Compress,44.000,2.278,2.402,0.969,12.337691188483726,0.5132478632478633
70Compression,1-Compress,45.000,2.223,2.457,1.034,13.165296892561582,0.525
70Compression,1-Compress,46.000,2.169,2.511,1.100,14.00563499208679,0.5365384615384616
70Compression,1-Compress,47.000,2.114,2.566,1.198,15.253409745927248,0.5482905982905983
70Compression,1-Compress,48.000,2.059,2.621,1.296,16.50118449976771,0.560042735042735
70Compression,1-Compress,49.000,2.005,2.675,1.362,17.341522599292915,0.5715811965811965
