SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,stress,strain
70Compression,1-Compress,0.000,4.556,-0,0.006,0.07639437268410976,-0.0
70Compression,1-Compress,1.000,4.503,0.053,0.022,0.28011269984173576,0.011633011413520631
70Compression,1-Compress,2.000,4.45,0.106,0.039,0.4965634224467135,0.023266022827041263
70Compression,1-Compress,3.000,4.397,0.159,0.022,0.28011269984173576,0.0348990342405619
70Compression,1-Compress,4.000,4.344,0.212,0.022,0.28011269984173576,0.046532045654082525
70Compression,1-Compress,5.000,4.291,0.265,0.039,0.4965634224467135,0.058165057067603165
70Compression,1-Compress,6.000,4.238,0.318,0.022,0.28011269984173576,0.0697980684811238
70Compression,1-Compress,7.000,4.184,0.372,0.022,0.28011269984173576,0.08165057067603161
70Compression,1-Compress,8.000,4.131,0.425,0.039,0.4965634224467135,0.09328358208955223
70Compression,1-Compress,9.000,4.078,0.478,0.039,0.4965634224467135,0.10491659350307286
70Compression,1-Compress,10.000,4.025,0.531,0.039,0.4965634224467135,0.11654960491659351
70Compression,1-Compress,11.000,3.972,0.584,0.055,0.7002817496043395,0.12818261633011413
70Compression,1-Compress,12.000,3.919,0.637,0.055,0.7002817496043395,0.13981562774363476
70Compression,1-Compress,13.000,3.866,0.69,0.039,0.4965634224467135,0.1514486391571554
70Compression,1-Compress,14.000,3.813,0.743,0.039,0.4965634224467135,0.16308165057067603
70Compression,1-Compress,15.000,3.759,0.797,0.055,0.7002817496043395,0.17493415276558386
70Compression,1-Compress,16.000,3.706,0.85,0.039,0.4965634224467135,0.18656716417910446
70Compression,1-Compress,17.000,3.653,0.903,0.039,0.4965634224467135,0.19820017559262512
70Compression,1-Compress,18.000,3.6,0.956,0.055,0.7002817496043395,0.20983318700614573
70Compression,1-Compress,19.000,3.547,1.009,0.055,0.7002817496043395,0.22146619841966636
70Compression,1-Compress,20.000,3.494,1.062,0.039,0.4965634224467135,0.23309920983318702
70Compression,1-Compress,21.000,3.441,1.115,0.071,0.9040000767619655,0.24473222124670763
70Compression,1-Compress,22.000,3.388,1.168,0.071,0.9040000767619655,0.25636523266022826
70Compression,1-Compress,23.000,3.334,1.222,0.055,0.7002817496043395,0.26821773485513606
70Compression,1-Compress,24.000,3.281,1.275,0.055,0.7002817496043395,0.2798507462686567
70Compression,1-Compress,25.000,3.228,1.328,0.071,0.9040000767619655,0.2914837576821774
70Compression,1-Compress,26.000,3.175,1.381,0.071,0.9040000767619655,0.30311676909569796
70Compression,1-Compress,27.000,3.122,1.434,0.055,0.7002817496043395,0.3147497805092186
70Compression,1-Compress,28.000,3.067,1.489,0.088,1.120450799366943,0.3268217734855136
70Compression,1-Compress,29.000,3.014,1.542,0.088,1.120450799366943,0.33845478489903424
70Compression,1-Compress,30.000,2.961,1.595,0.071,0.9040000767619655,0.3500877963125549
70Compression,1-Compress,31.000,2.908,1.648,0.104,1.324169126524569,0.36172080772607546
70Compression,1-Compress,32.000,2.855,1.701,0.104,1.324169126524569,0.37335381913959614
70Compression,1-Compress,33.000,2.802,1.754,0.088,1.120450799366943,0.3849868305531168
70Compression,1-Compress,34.000,2.748,1.808,0.088,1.120450799366943,0.3968393327480246
70Compression,1-Compress,35.000,2.695,1.861,0.121,1.5406198491295469,0.4084723441615452
70Compression,1-Compress,36.000,2.642,1.914,0.104,1.324169126524569,0.42010535557506584
70Compression,1-Compress,37.000,2.589,1.967,0.121,1.5406198491295469,0.4317383669885865
70Compression,1-Compress,38.000,2.536,2.02,0.137,1.744338176287173,0.4433713784021071
70Compression,1-Compress,39.000,2.483,2.073,0.153,1.948056503444799,0.45500438981562774
70Compression,1-Compress,40.000,2.43,2.126,0.137,1.744338176287173,0.4666374012291484
70Compression,1-Compress,41.000,2.377,2.179,0.170,2.1645072260497766,0.47827041264266895
70Compression,1-Compress,42.000,2.323,2.233,0.186,2.3682255532074024,0.49012291483757686
70Compression,1-Compress,43.000,2.27,2.286,0.170,2.1645072260497766,0.5017559262510974
70Compression,1-Compress,44.000,2.217,2.339,0.186,2.3682255532074024,0.5133889376646181
70Compression,1-Compress,45.000,2.164,2.392,0.219,2.7883946029700066,0.5250219490781387
70Compression,1-Compress,46.000,2.111,2.445,0.219,2.7883946029700066,0.5366549604916593
70Compression,1-Compress,47.000,2.058,2.498,0.235,2.992112930127632,0.54828797190518
70Compression,1-Compress,48.000,2.005,2.551,0.268,3.412281979890236,0.5599209833187007
70Compression,1-Compress,49.000,1.952,2.604,0.268,3.412281979890236,0.5715539947322212
70Compression,1-Compress,50.000,1.898,2.658,0.268,3.412281979890236,0.583406496927129
70Compression,1-Compress,51.000,1.845,2.711,0.317,4.036169356810466,0.5950395083406497
70Compression,1-Compress,52.000,1.792,2.764,0.333,4.2398876839680915,0.6066725197541702
70Compression,1-Compress,53.000,1.739,2.817,0.350,4.456338406573069,0.6183055311676909
70Compression,1-Compress,54.000,1.686,2.87,0.383,4.8765074563356725,0.6299385425812116
70Compression,1-Compress,55.000,1.633,2.923,0.432,5.500394833255903,0.6415715539947322
70Compression,1-Compress,56.000,1.58,2.976,0.448,5.704113160413529,0.6532045654082529
70Compression,1-Compress,57.000,1.525,3.031,0.497,6.328000537333758,0.6652765583845479
70Compression,1-Compress,58.000,1.472,3.084,0.563,7.168338636858966,0.6769095697980685
70Compression,1-Compress,59.000,1.419,3.137,0.612,7.792226013779196,0.6885425812115891
up 250mm in 30s,1-Compress,60.000,1.367,-0,0.645,8.2123950635418,-0.0
up 250mm in 30s,1-Compress,61.000,9.62,-8.253,0.039,0.4965634224467135,-1.811457418788411
up 250mm in 30s,1-Compress,62.000,17.975,-16.608,0.022,0.28011269984173576,-3.6453028972783144
up 250mm in 30s,1-Compress,63.000,26.331,-24.964,0.006,0.07639437268410976,-5.479367866549604
up 250mm in 30s,1-Compress,64.000,34.688,-33.321,0.022,0.28011269984173576,-7.313652326602282
up 250mm in 30s,1-Compress,65.000,43.042,-41.675,0.039,0.4965634224467135,-9.147278314310798
up 250mm in 30s,1-Compress,66.000,51.398,-50.031,0.039,0.4965634224467135,-10.981343283582088
up 250mm in 30s,1-Compress,67.000,59.753,-58.386,0.022,0.28011269984173576,-12.815188762071994
up 250mm in 30s,1-Compress,68.000,68.109,-66.742,0.022,0.28011269984173576,-14.649253731343284
up 250mm in 30s,1-Compress,69.000,76.466,-75.099,0.022,0.28011269984173576,-16.48353819139596
up 250mm in 30s,1-Compress,70.000,84.82,-83.453,0.039,0.4965634224467135,-18.317164179104477
up 250mm in 30s,1-Compress,71.000,93.177,-91.81,0.022,0.28011269984173576,-20.151448639157156
up 250mm in 30s,1-Compress,72.000,101.531,-100.164,0.022,0.28011269984173576,-21.98507462686567
up 250mm in 30s,1-Compress,73.000,109.888,-108.521,0.039,0.4965634224467135,-23.81935908691835
up 250mm in 30s,1-Compress,74.000,118.244,-116.877,0.039,0.4965634224467135,-25.65342405618964
up 250mm in 30s,1-Compress,75.000,126.598,-125.231,0.022,0.28011269984173576,-27.487050043898154
up 250mm in 30s,1-Compress,76.000,134.955,-133.588,0.022,0.28011269984173576,-29.321334503950833
up 250mm in 30s,1-Compress,77.000,143.309,-141.942,0.039,0.4965634224467135,-31.154960491659352
up 250mm in 30s,1-Compress,78.000,151.666,-150.299,0.039,0.4965634224467135,-32.98924495171203
up 250mm in 30s,1-Compress,79.000,160.022,-158.655,0.022,0.28011269984173576,-34.82330992098332
up 250mm in 30s,1-Compress,80.000,168.377,-167.01,0.006,0.07639437268410976,-36.65715539947322
up 250mm in 30s,1-Compress,81.000,176.733,-175.366,0.039,0.4965634224467135,-38.491220368744514
up 250mm in 30s,1-Compress,82.000,185.088,-183.721,0.039,0.4965634224467135,-40.32506584723442
up 250mm in 30s,1-Compress,83.000,193.444,-192.077,0.039,0.4965634224467135,-42.15913081650571
up 250mm in 30s,1-Compress,84.000,201.802,-200.435,0.317,4.036169356810466,-43.99363476733977
up 250mm in 30s,1-Compress,85.000,210.156,-208.789,0.039,0.4965634224467135,-45.827260755048286
up 250mm in 30s,1-Compress,86.000,218.513,-217.146,0.039,0.4965634224467135,-47.661545215100965
up 250mm in 30s,1-Compress,87.000,226.869,-225.502,0.022,0.28011269984173576,-49.49561018437226
up 250mm in 30s,1-Compress,88.000,235.223,-233.856,0.006,0.07639437268410976,-51.32923617208077
up 250mm in 30s,1-Compress,89.000,243.58,-242.213,0.039,0.4965634224467135,-53.16352063213345
up 250mm in 30s,1-Recover,90.000,251.366,-249.999,0.039,0.4965634224467135,-54.87247585601405
