SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,stress,strain
70Compression,1-Compress,0.000,4.233,-0,0.039,0.4965634224467135,-0.0
70Compression,1-Compress,1.000,4.184,0.049,0.022,0.28011269984173576,0.01157571462319868
70Compression,1-Compress,2.000,4.134,0.099,0.039,0.4965634224467135,0.02338766832034019
70Compression,1-Compress,3.000,4.086,0.147,0.055,0.7002817496043395,0.03472714386959603
70Compression,1-Compress,4.000,4.036,0.197,0.071,0.9040000767619655,0.04653909756673755
70Compression,1-Compress,5.000,3.986,0.247,0.055,0.7002817496043395,0.05835105126387905
70Compression,1-Compress,6.000,3.938,0.295,0.071,0.9040000767619655,0.0696905268131349
70Compression,1-Compress,7.000,3.888,0.345,0.071,0.9040000767619655,0.0815024805102764
70Compression,1-Compress,8.000,3.838,0.395,0.071,0.9040000767619655,0.09331443420741792
70Compression,1-Compress,9.000,3.789,0.444,0.071,0.9040000767619655,0.10489014883061659
70Compression,1-Compress,10.000,3.739,0.494,0.104,1.324169126524569,0.1167021025277581
70Compression,1-Compress,11.000,3.691,0.542,0.088,1.120450799366943,0.12804157807701397
70Compression,1-Compress,12.000,3.641,0.592,0.088,1.120450799366943,0.13985353177415544
70Compression,1-Compress,13.000,3.591,0.642,0.104,1.324169126524569,0.15166548547129696
70Compression,1-Compress,14.000,3.542,0.691,0.121,1.5406198491295469,0.16324120009449564
70Compression,1-Compress,15.000,3.492,0.741,0.104,1.324169126524569,0.17505315379163716
70Compression,1-Compress,16.000,3.444,0.789,0.121,1.5406198491295469,0.186392629340893
70Compression,1-Compress,17.000,3.394,0.839,0.137,1.744338176287173,0.1982045830380345
70Compression,1-Compress,18.000,3.344,0.889,0.104,1.324169126524569,0.210016536735176
70Compression,1-Compress,19.000,3.295,0.938,0.121,1.5406198491295469,0.22159225135837468
70Compression,1-Compress,20.000,3.245,0.988,0.137,1.744338176287173,0.2334042050555162
70Compression,1-Compress,21.000,3.195,1.038,0.137,1.744338176287173,0.24521615875265773
70Compression,1-Compress,22.000,3.147,1.086,0.137,1.744338176287173,0.2565556343019136
70Compression,1-Compress,23.000,3.097,1.136,0.170,2.1645072260497766,0.268367587999055
70Compression,1-Compress,24.000,3.048,1.185,0.186,2.3682255532074024,0.27994330262225375
70Compression,1-Compress,25.000,2.998,1.235,0.153,1.948056503444799,0.29175525631939525
70Compression,1-Compress,26.000,2.948,1.285,0.186,2.3682255532074024,0.30356721001653675
70Compression,1-Compress,27.000,2.9,1.333,0.186,2.3682255532074024,0.3149066855657926
70Compression,1-Compress,28.000,2.85,1.383,0.186,2.3682255532074024,0.3267186392629341
70Compression,1-Compress,29.000,2.802,1.431,0.186,2.3682255532074024,0.33805811481219
70Compression,1-Compress,30.000,2.752,1.481,0.219,2.7883946029700066,0.3498700685093315
70Compression,1-Compress,31.000,2.702,1.531,0.202,2.571943880365029,0.36168202220647294
70Compression,1-Compress,32.000,2.653,1.58,0.219,2.7883946029700066,0.37325773682967167
70Compression,1-Compress,33.000,2.603,1.63,0.252,3.20856365273261,0.38506969052681317
70Compression,1-Compress,34.000,2.553,1.68,0.252,3.20856365273261,0.39688164422395467
70Compression,1-Compress,35.000,2.505,1.728,0.252,3.20856365273261,0.4082211197732105
70Compression,1-Compress,36.000,2.455,1.778,0.268,3.412281979890236,0.420033073470352
