Test Time,Storage Modulus,Loss Modulus
-45.81,1.041555639600669,1.137698800691211
-43.56,1.1424515691694763,1.1482982947010825
-41.31,1.2433474987382835,1.158897788710954
-39.06,1.3442434283070908,1.1694972827208254
-36.81,1.445139357875898,1.180096776730697
-34.56,1.5460352874447052,1.1906962707405682
-32.31,1.6469312170135124,1.2012957647504396
-30.060000000000002,1.7478271465823194,1.2118952587603111
-27.810000000000002,1.8487230761511266,1.2224947527701826
-25.560000000000002,1.9496190057199339,1.233094246780054
-23.310000000000002,2.0505149352887413,1.2436937407899253
-21.060000000000002,2.1514108648575485,1.2542932347997968
-18.810000000000002,2.2523067944263557,1.2648927288096683
-16.560000000000002,2.353202723995163,1.2754922228195398
-14.310000000000002,2.45409865356397,1.2860917168294113
-12.060000000000002,2.5549945831327774,1.2966912108392827
-9.810000000000002,2.6558905127015846,1.307290704849154
-7.560000000000002,2.756786442270392,1.3178901988590255
-5.310000000000002,2.8576823718391986,1.328489692868897
-3.0600000000000023,2.958578301408006,1.3390891868787684
-0.8100000000000023,3.059474230976813,1.34968868088864
1.4399999999999977,3.1603701605456203,1.3602881748985114
3.6899999999999977,3.2612660901144275,1.3708876689083827
5.939999999999998,3.3621620196832347,1.3814871629182541
8.189999999999998,3.463057949252042,1.3920866569281256
10.439999999999998,3.563953878820849,1.402686150937997
12.689999999999998,3.6648498083896563,1.4132856449478686
14.939999999999998,3.7657457379584636,1.4238851389577398
17.189999999999998,3.866641667527271,1.4344846329676113
19.439999999999998,3.967537597096078,1.4450841269774828
21.689999999999998,4.068433526664885,1.4556836209873543
23.939999999999998,4.169329456233692,1.4662831149972257
26.189999999999998,4.270225385802499,1.4768826090070972
28.439999999999998,4.371121315371306,1.4874821030169685
30.689999999999998,4.472017244940114,1.49808159702684
32.94,4.572913174508921,1.5086810910367114
35.19,4.673809104077728,1.519280585046583
37.44,4.774705033646535,1.5298800790564544
39.69,4.8756009632153425,1.5404795730663259
41.94,4.97649689278415,1.5510790670761971
44.19,4.7775,1.4951
74.19,6.6149,1.748
104.2,8.0407,1.8993
134.2,9.192,2.0072
164.2,10.216,2.0722
194.2,11.193,2.1266
224.2,12.118,2.1899
254.2,12.975,2.2391
284.2,13.833,2.3001
314.2,14.668,2.3578
344.2,15.513,2.3481
374.2,16.305,2.4853
404.2,17.121,2.5401
434.2,17.931,2.5999
464.2,18.771,2.6584
494.2,19.638,2.7535
524.2,20.439,2.8315
554.2,21.323,2.8767
584.2,22.171,2.9735
614.2,23.053,3.0481
644.2,23.968,3.1446
674.2,24.883,3.21
704.2,25.83,3.3181
734.2,26.773,3.4093
764.2,27.734,3.4881
794.2,28.741,3.5896
824.2,29.747,3.7
854.2,30.825,3.7707
884.2,31.91,3.9108
914.2,32.969,4.0203
944.2,34.064,4.1084
974.2,35.194,4.2534
1004.0,36.293,4.388
1034.0,37.456,4.4892
1064.0,38.662,4.6277
1094.0,39.782,4.7253
1124.0,40.854,4.8932
1154.0,41.769,5.0357
1184.0,42.794,5.165
1214.0,43.197,5.3071
1244.0,43.893,5.4835
1274.0,45.103,5.636
1304.0,46.117,5.8768
1334.0,46.795,6.0314
1364.0,47.651,6.2036
1394.0,48.493,6.452
1424.0,49.482,6.65
1454.0,50.38,6.9469
1484.0,51.341,7.109
1514.0,52.486,7.4949
1544.0,53.42,7.7534
1574.0,54.517,7.9995
1604.0,55.652,8.3972
1634.0,56.789,8.9415
1664.0,57.81,9.1506
1694.0,58.949,9.6893
1724.0,60.31,10.185
1754.0,61.543,10.564
1784.0,62.595,10.966
1814.0,63.852,11.534
1844.0,65.173,11.992
1874.0,66.826,12.799
1904.0,68.412,13.594
1934.0,69.6,13.806
1964.0,71.705,15.086
1994.0,72.897,15.339
2024.0,74.212,15.936
2054.0,75.803,16.518
2084.0,78.031,17.804
2114.0,79.328,18.305
2144.0,81.662,19.703
2174.0,82.968,19.969
2204.0,85.146,21.26
2234.0,87.593,22.707
2264.0,89.802,23.776
2294.0,92.226,25.347
2324.0,94.13,25.988
2354.0,97.211,28.181
2384.0,99.435,29.486
2414.0,101.8,30.935
2444.0,106.48,34.072
2474.0,109.21,34.987
2504.0,113.64,37.437
2534.0,115.08,38.548
2564.0,119.82,41.117
2594.0,121.36,42.117
2624.0,126.77,45.528
2654.0,132.18,48.448
2684.0,134.64,50.547
2714.0,140.03,53.342
2744.0,144.73,56.374
2774.0,149.13,58.939
2804.0,155.87,62.395
2834.0,159.34,64.41
2864.0,166.55,68.984
2894.0,174.85,73.314
2924.0,176.68,74.308
2954.0,184.59,78.896
2984.0,190.98,82.475
3014.0,192.26,83.203
3044.0,203.11,89.122
3074.0,211.26,93.775
3104.0,208.55,92.259
3134.0,215.75,96.302
3164.0,233.51,106.06
3194.0,241.26,110.3
3224.0,250.31,115.26
3254.0,258.67,119.89
3284.0,266.07,123.85
3314.0,274.33,128.28
3344.0,287.05,135.0
3374.0,295.79,139.69
3404.0,307.45,145.82
3434.0,314.33,149.38
3464.0,318.43,152.05
3494.0,342.04,163.61
3524.0,343.62,164.47
3554.0,353.38,169.97
3584.0,365.96,176.64
3614.0,376.65,182.04
