Filename,Modulus [kPa],RMSE,r2
Sample26.4Data.csv,37.8241927,0.129634604,0.823413473
Sample27.1Data.csv,25.8719037,0.118025598,0.724810024
Sample27.2Data.csv,27.79961563,0.128208185,0.720410976
Sample27.3Data.csv,32.67513944,0.149085443,0.724567275
Sample27.4Data.csv,29.65491655,0.117136473,0.774503121
Sample27.5Data.csv,108.1574443,0.19435644,0.944296473
Sample27.7Data.csv,78.63956745,0.149520269,0.938143162
Sample3.1Data.csv,64.03875187,0.152871627,0.905755271
Sample3.2Data.csv,99.8088619,0.222153264,0.91725394
Sample4.2Data.csv,12.91341172,0.11311053,0.416489654
Sample4.3Data.csv,14.62443368,0.096809039,0.555298878
Sample4.4Data.csv,8.170367576,0.133866966,0.169529364
Sample5.1Data.csv,2.374111647,0.119164169,0.021280748
Sample5.2Data.csv,9.456791309,0.125119158,0.235215372
Sample5.3Data.csv,13.96309653,0.134939888,0.369781237
Sample6.1Data.csv,11.66309447,0.130542877,0.304382358
Sample6.2Data.csv,12.71778993,0.098724536,0.476187778
Sample6.3Data.csv,21.23026784,0.10730749,0.682082163
Sample6.4Data.csv,9.757694295,0.129739613,0.236540417
Sample7.1Data.csv,4.495157445,0.11687684,0.074894627
Sample7.2Data.csv,12.57149091,0.146659384,0.282347821
Sample7.3Data.csv,4.359539128,0.141741416,0.049313163
Sample7.4Data.csv,4.930154241,0.155193437,0.052457458
Sample8.1Data.csv,13.06671706,0.09861553,0.484846017
Sample8.2Data.csv,19.03377752,0.118788378,0.584669561
Sample8.3Data.csv,9.344303349,0.134390236,0.209457468
Sample8.4Data.csv,11.62314009,0.118468075,0.345383811
Sample9.1Data.csv,17.24219473,0.137217889,0.463808926
Sample9.2Data.csv,19.8999083,0.147078461,0.495033091
Sample9.3Data.csv,20.19063065,0.173035724,0.427597074
Sample9.4Data.csv,11.33754256,0.123847569,0.314638626
