Test Time,Storage Modulus,Loss Modulus
0.0,-0.010116342101807695,0.3928759184666976
2.25,-0.008926770136037841,0.3960565352403552
4.5,-0.007737198170267988,0.3992371520140129
6.75,-0.0065476262044981345,0.40241776878767055
9.0,-0.005358054238728278,0.40559838556132816
11.25,-0.004168482272958424,0.4087790023349858
13.5,-0.002978910307188571,0.4119596191086435
15.75,-0.0017893383414187176,0.4151402358823011
18.0,-0.0005997663756488643,0.41832085265595875
20.25,0.0005898055901209891,0.4215014694296164
22.5,0.0017793775558908442,0.424682086203274
24.75,0.0029689495216606975,0.4278627029769317
27.0,0.004158521487430551,0.43104331975058935
29.25,0.005348093453200404,0.43422393652424696
31.5,0.0065376654189702585,0.4374045532979046
33.75,0.007727237384740113,0.4405851700715623
36.0,0.008916809350509966,0.4437657868452199
38.25,0.01010638131627982,0.44694640361887755
40.5,0.011295953282049674,0.45012702039253516
42.75,0.012485525247819528,0.4533076371661928
45.0,0.013675097213589381,0.4564882539398505
47.25,0.014864669179359236,0.4596688707135081
49.5,0.01605424114512909,0.46284948748716576
51.75,0.017243813110898943,0.4660301042608234
54.0,0.018433385076668796,0.469210721034481
56.25,0.01962295704243865,0.4723913378081387
58.5,0.020812529008208507,0.47557195458179635
60.75,0.02200210097397836,0.47875257135545396
63.0,0.023191672939748213,0.4819331881291116
65.25,0.024381244905518067,0.48511380490276923
67.5,0.02557081687128792,0.4882944216764269
69.75,0.026760388837057773,0.49147503845008456
72.0,0.027949960802827627,0.4946556552237422
74.25,0.02913953276859748,0.4978362719973998
76.5,0.030329104734367337,0.5010168887710574
78.75,0.031518676700137194,0.5041975055447151
81.0,0.03270824866590705,0.5073781223183728
83.25,0.0338978206316769,0.5105587390920304
85.5,0.035087392597446754,0.5137393558656881
87.75,0.03627696456321661,0.5169199726393456
90.0,0.025292,0.50308
120.0,0.071026,0.56895
150.0,0.070721,0.62354
180.0,0.077615,0.65893
210.0,0.10132,0.67017
240.0,0.11485,0.69269
270.0,0.11956,0.71991
300.0,0.14729,0.71151
330.0,0.15137,0.75625
360.0,0.17278,0.78129
390.0,0.21249,0.76962
420.0,0.18861,0.75303
450.0,0.23972,0.82818
480.0,0.26367,0.83858
510.0,0.2445,0.85959
540.0,0.2867,0.8832
570.0,0.32578,0.8952
600.0,0.34693,0.87727
630.0,0.35402,0.89916
660.0,0.39255,0.95843
690.0,0.42707,0.97577
720.0,0.44566,0.98363
750.0,0.48236,1.01
780.0,0.53662,1.0071
810.0,0.5753,1.0351
840.0,0.55144,1.0615
870.0,0.59671,1.0771
900.0,0.63041,1.0895
930.0,0.67363,1.1113
960.0,0.71352,1.133
990.0,0.72442,1.1356
1020.0,0.77389,1.1747
1050.0,0.80265,1.1963
1080.0,0.82158,1.1961
1110.0,0.85472,1.1962
1140.0,0.88429,1.2136
1170.0,0.92777,1.2174
1200.0,0.94518,1.2408
1230.0,1.0065,1.2665
1260.0,1.0381,1.2715
1290.0,1.0456,1.2696
1320.0,1.0748,1.3051
1350.0,1.1011,1.2856
1380.0,1.1535,1.3291
1410.0,1.1876,1.3569
1440.0,1.206,1.3419
1470.0,1.2578,1.3642
1500.0,1.2748,1.368
1530.0,1.326,1.3873
1560.0,1.3424,1.4027
1590.0,1.3808,1.3965
1620.0,1.4336,1.4322
1650.0,1.4833,1.4398
1680.0,1.4677,1.4736
1710.0,1.5386,1.4519
1740.0,1.5758,1.4824
1770.0,1.6091,1.4837
1800.0,1.6676,1.5515
1830.0,1.6914,1.4834
1860.0,1.7302,1.5363
1890.0,1.7619,1.5552
1920.0,1.8231,1.5774
1950.0,1.8606,1.5759
1980.0,1.9153,1.6089
2010.0,1.9472,1.6051
2040.0,1.9881,1.6304
2070.0,2.0459,1.6364
2100.0,2.0849,1.6668
2130.0,2.1254,1.6832
2160.0,2.1719,1.7118
2190.0,2.2256,1.7219
2220.0,2.282,1.7155
2250.0,2.3362,1.7593
2280.0,2.3691,1.7596
2310.0,2.4377,1.7928
2340.0,2.4692,1.8026
2370.0,2.5502,1.8206
2400.0,2.5947,1.8413
2430.0,2.6571,1.8736
2460.0,2.7013,1.8687
2490.0,2.7626,1.8872
2520.0,2.8283,1.9148
2550.0,2.8883,1.9337
2580.0,2.9537,1.9405
2610.0,3.0201,1.9721
2640.0,3.0762,1.9936
2670.0,3.1446,2.0005
2700.0,3.2157,2.0234
2730.0,3.2983,2.032
2760.0,3.3438,2.067
2790.0,3.428,2.0917
2820.0,3.4868,2.1142
2850.0,3.5766,2.1321
2880.0,3.6341,2.1395
2910.0,3.7048,2.1625
2940.0,3.7684,2.1792
2970.0,3.8518,2.2148
3000.0,3.9376,2.214
3030.0,4.0139,2.2408
3060.0,4.0989,2.2537
3090.0,4.1672,2.3037
3120.0,4.2445,2.3149
3150.0,4.3069,2.3359
3180.0,4.4025,2.3594
3210.0,4.4982,2.3972
3240.0,4.5923,2.4082
3270.0,4.7057,2.4424
3300.0,4.8138,2.4761
3330.0,4.9441,2.5006
3360.0,5.0823,2.5543
3390.0,5.2964,2.5738
3420.0,5.4087,2.6805
3450.0,5.5672,2.7322
3480.0,5.7669,2.7728
3510.0,5.9342,2.8223
3540.0,6.0626,2.9004
3570.0,6.2126,2.92
3600.0,6.4011,2.9911
3630.0,6.5901,3.0506
3660.0,6.7366,3.1242
