Shear Rate [1/s],8.1,8.2,8.3,Avg,SD
0.0193,51.112,557.33,94.717,234.3863333,229.048478
0.0268,48.744,482.13,110.95,213.9413333,191.3308954
0.0372,37.056,439.91,81.273,186.0796667,180.3906213
0.0517,38.775,391.87,91.785,174.1433333,155.469592
0.0719,37.468,337.66,92.619,155.9156667,130.4700738
0.0999,30.51,265.67,95.661,130.6136667,99.13399377
0.139,43.877,196.77,85.516,108.721,64.5389876
0.193,41.183,158,84.547,94.57666667,48.21478703
0.269,38.027,114.33,72.815,75.05733333,31.19089607
0.373,32.23,100.21,62.866,65.102,27.79772019
0.518,28.869,83.405,56.907,56.39366667,22.26718748
0.72,28.867,68.557,49.331,48.91833333,16.20600188
1,26.878,54.544,46.014,42.47866667,11.56793918
1.39,26.416,48.123,43.395,39.31133333,9.320433192
1.93,25.802,45.629,43.156,38.19566667,8.821608407
2.68,24.709,41.778,38.747,35.078,7.435673518
3.73,24.585,38.667,37.166,33.47266667,6.314333659
5.18,24.319,37.551,36.941,32.937,6.098932584
7.2,24.548,32.28,36.959,31.26233333,5.11761431
10,24.391,31.78,35.963,30.71133333,4.784302968
13.9,24.708,29.065,35.22,29.66433333,4.312380343
19.3,25.391,29.099,35.04,29.84333333,3.974193783
26.8,25.414,28.877,35.047,29.77933333,3.984078842
37.3,25.83,28.681,34.698,29.73633333,3.696453465
51.8,26.906,29.005,34.472,30.12766667,3.189187392
72,27.202,29.16,34.214,30.192,2.954183926
100,27.222,28.946,33.27,29.81266667,2.544000699
139,27.247,28.397,32.319,29.321,2.17127121
193,27.467,27.85,31.278,28.865,1.713397988
268,27.88,27.279,30.357,28.50533333,1.332116695
373,28.007,26.789,29.373,28.05633333,1.055490197
518,27.618,26.55,28.51,27.55933333,0.801241259
720,27.286,26.264,27.997,27.18233333,0.711281629
1000,26.961,25.964,27.559,26.828,0.657912355
