Shear Rate [1/s],14.1,14.2,14.3,Avg,SD
0.0193,611.66,788.96,136.41,512.3433333,275.5034493
0.0268,509.19,570.24,134.01,404.48,192.8683338
0.0372,377.09,269.7,83.089,243.293,121.4691847
0.0517,185.63,192.89,75.035,151.185,53.92769094
0.0719,183.38,178.59,65.495,142.4883333,54.47761656
0.0999,90.093,159.73,54.402,101.4083333,43.73804196
0.139,83.217,140.07,47.32,90.20233333,38.1858332
0.193,73.816,136.26,44.232,84.76933333,38.36030787
0.269,51.243,91.526,36.796,59.855,23.15841291
0.373,42.892,82.747,37.565,54.40133333,20.16104902
0.518,50.77,57.433,34.626,47.60966667,9.575336107
0.72,45.379,52.437,33.583,43.79966667,7.777705289
1,132.97,47.066,30.277,70.10433333,44.97804401
1.39,195.26,41.708,29.665,88.87766667,75.38416764
1.93,26.701,43.522,28.932,33.05166667,7.4594571
2.68,27.609,37.364,29.407,31.46,4.238798021
3.73,26.995,33.439,28.195,29.543,2.798107932
5.18,26.818,27,27.817,27.21166667,0.434436289
7.2,25.94,25.674,26.44,26.018,0.317544748
10,24.877,25.407,26.444,25.576,0.650790801
13.9,24.735,25.829,26.644,25.736,0.782115507
19.3,25.001,23.343,26.742,25.02866667,1.387773837
26.8,25.01,23.229,26.33,24.85633333,1.270632476
37.3,24.645,23.233,25.75,24.54266667,1.030105604
51.8,24.196,23.225,25.302,24.241,0.84852853
72,24.042,22.416,25.228,23.89533333,1.152669173
100,23.991,22.203,24.927,23.707,1.130054866
139,23.658,21.998,24.552,23.40266667,1.058182509
193,23.388,21.76,24.351,23.16633333,1.069321384
268,23.227,21.754,24.129,23.03666667,0.978885875
373,23.164,21.531,23.447,22.714,0.844448143
518,23.118,21.416,22.633,22.389,0.71593901
720,23.606,21.152,21.791,22.183,1.039479678
1000,23.057,20.85,21.206,21.70433333,0.967458641
