Shear Rate [1/s],27.1,27.2,27.3,Avg,SD
0.0999,205.02,100.08,18497,6267.366667,8647.762782
0.139,201.38,98.759,18001,6100.379667,8415.113626
0.193,191.42,94.652,7546.7,2610.924,3490.344257
0.269,722.29,89.337,4742.2,1851.275667,2060.459496
0.373,180.28,81.534,3801.1,1354.304667,1730.61516
0.518,147.87,79.088,2203.9,810.286,985.8339031
0.72,133.51,74.351,1713,640.287,758.9070352
1,123.37,71.913,1472.5,555.9276667,648.454875
1.39,115.05,69.697,567.05,250.599,224.5293599
1.93,112.95,66.014,346.61,175.1913333,122.7165202
2.68,109.23,68.677,228.31,135.4056667,67.74731393
3.73,106.57,64.317,190.75,120.5456667,52.55356199
5.18,105.26,60.153,166.45,110.621,43.56082562
7.2,102.84,60.216,154.58,105.8786667,38.58381565
10,98.221,60.614,175.44,111.425,47.79826901
13.9,92.47,57.902,138.95,96.44066667,33.20661803
19.3,87.111,59.665,140.35,95.70866667,33.49584263
26.8,82.037,58.793,142.51,94.44666667,35.28582239
37.3,76.858,59.035,146.67,94.18766667,37.81720346
51.8,70.932,60.399,150.81,94.047,40.36718675
72,65.94,59.84,149.21,91.66333333,40.76777022
100,62.076,58.54,153.23,91.282,43.82763095
139,59.324,56.661,157.78,91.255,47.05283988
193,57.819,55.019,159.49,90.776,48.60157986
268,57.967,54.047,157.45,89.82133333,47.84745912
373,58.628,53.952,152.34,88.30666667,45.31862809
518,59.127,54.06,145.88,86.35566667,42.14086153
720,59.432,55.472,136.04,83.648,37.08199606
1000,61.75,56.529,126.7,81.65966667,31.91957007
