Shear Rate [1/s],2.1,2.2,2.3,Avg,SD
0.00994,129.96,140.74,105.02,125.24000000000001,14.95968805378865
0.0139,248.22,68.245,25.919,114.128,96.37901195108127
0.0193,160.66,57.55,42.722,86.97733333333332,52.452002957200996
0.0268,122.77,60.546,31.26,71.52533333333334,38.15695083322158
0.0372,105.88,63.567,29.744,66.397,31.146741926992405
0.0517,86.079,76.431,37.587,66.699,20.958727442285227
0.0719,79.242,70.875,23.294,57.80366666666668,24.63993360831604
0.0999,68.557,59.617,21.556,49.910000000000004,20.37879432154905
0.139,55.868,60.892,23.955,46.905,16.357200636620764
0.193,50.995,48.086,21.906,40.329,13.081049065983455
0.269,34.653,43.129,20.121,32.63433333333333,9.500816713431652
0.373,30.755,40.592,21.416,30.920999999999996,7.829449150483065
0.518,27.41,35.048,18.639,27.03233333333333,6.704267016029585
0.72,25.508,32.395,18.158,25.35366666666667,5.813255332045511
1.0,23.439,31.037,18.294,24.256666666666664,5.234338311148368
1.39,22.346,30.411,18.623,23.793333333333337,4.92004853182929
1.93,21.628,27.976,17.751,22.451666666666668,4.214773725309052
2.68,20.575,28.164,17.223,21.987333333333336,4.576926503913104
3.73,20.253,26.208,16.894,21.118333333333332,3.851341786385045
5.18,19.488,26.46,16.653,20.867,4.120723480167045
7.2,18.981,25.354,16.315,20.21666666666667,3.792187964164692
10.0,18.966,25.072,16.226,20.087999999999997,3.697484910945096
13.9,18.981,25.689,16.127,20.265666666666664,4.00797017065857
19.3,18.952,25.423,16.145,20.173333333333332,3.8849334900641757
26.8,19.058,25.206,16.181,20.14833333333333,3.7642419629396238
37.3,19.266,24.967,16.218,20.150333333333332,3.6260892003491705
51.8,19.334,24.697,16.185,20.072,3.5139739137715105
72.0,19.645,24.312,16.158,20.038333333333334,3.3404552916564465
100.0,20.05,23.872,16.199,20.040333333333333,3.132496590403393
139.0,20.384,23.566,16.196,20.048666666666666,3.0181187665313773
193.0,20.6,23.339,16.237,20.058666666666667,2.9245378362325143
268.0,20.932,23.173,16.407,20.170666666666666,2.8141796120519533
373.0,21.31,22.929,16.635,20.29133333333333,2.6685664482805898
518.0,21.175,22.822,16.933,20.31,2.4807591579998247
720.0,20.845,22.847,17.144,20.278666666666666,2.362428458646362
1000.0,20.5,22.929,17.029,20.152666666666665,2.421154040718782
