Shear Rate [1/s],13.1,13.2,13.3,Avg,SD
0.0268,354.69,515.07,43630,14833.25333,20362.48011
0.0372,252.11,350.65,41494,14032.25333,19418.42896
0.0517,239.92,328.45,28595,9721.123333,13345.89512
0.0719,199.77,315.96,14438,4984.576667,6684.748042
0.0999,136.55,255.79,10828,3740.113333,5012.129128
0.139,108.25,241.12,9164.2,3171.19,4238.045167
0.193,84.361,225.66,3317.5,1209.173667,1491.927455
0.269,65.858,182.04,2279.4,842.4326667,1017.195786
0.373,54.849,83.721,1533.4,557.3233333,690.2910703
0.518,50.252,75.261,928.43,351.3143333,408.2101028
0.72,44.791,84.084,976.23,368.3683333,430.1223387
1,41.554,70.957,537.6,216.7036667,227.2252578
1.39,38.949,56.655,445.74,180.448,187.7289883
1.93,35.668,52.612,353.41,147.23,145.9552879
2.68,33.277,53.932,287.02,124.743,115.0565826
3.73,33.102,46.585,152.56,77.41566667,53.41941561
5.18,31.525,36.829,127.61,65.32133333,44.09793344
7.2,27.57,51.861,108.87,62.767,34.07470349
10,27.206,28.99,121.95,59.382,44.24825143
13.9,26.308,27.568,72.989,42.28833333,21.71474308
19.3,25.538,27.707,68.754,40.66633333,19.88070932
26.8,24.904,26.902,59.422,37.076,15.82204766
37.3,24.676,26.573,50.844,34.031,11.91378415
51.8,24.53,24.351,49.261,32.714,11.70072411
72,24.329,23.689,39.585,29.201,7.347244018
100,24.18,23.388,34.193,27.25366667,4.917490982
139,23.876,22.666,31.303,25.94833333,3.818408598
193,23.527,22.089,29.293,24.96966667,3.112916032
268,23.116,21.697,27.288,24.03366667,2.372959381
373,22.77,21.398,24.201,22.78966667,1.144404455
518,22.451,21.149,21.021,21.54033333,0.646055381
720,22.318,20.791,20.712,21.27366667,0.739159132
1000,22.153,19.977,20.395,20.84166667,0.942824598
