Shear Rate [1/s],19.1,19.2,19.3,Avg,SD
0.0999,1005.3,2015.2,8.5934,1009.6978,819.1996164
0.139,591.26,2161.1,12.641,921.667,907.6877613
0.193,363.74,2295.9,14.553,891.3976667,1003.312179
0.269,256.61,2219.6,14.301,830.1703333,987.4426606
0.373,204.58,1644.9,16.593,622.0243333,727.3425374
0.518,105.14,798.45,16.878,306.8226667,349.4954662
0.72,69.294,276.66,16.093,120.6823333,112.4110344
1,103.23,174.45,16.555,98.07833333,64.56321196
1.39,55.929,121.2,17.16,64.763,42.93103048
1.93,49.244,88.063,17.884,51.73033333,28.70434811
2.68,44.966,65.827,17.665,42.81933333,19.7205594
3.73,41.698,51.239,18.016,36.98433333,13.96676823
5.18,32.94,40.77,17.876,30.52866667,9.50069139
7.2,32.823,33.972,17.796,28.197,7.369561317
10,31.27,29.809,17.695,26.258,6.0842615
13.9,26.195,27.084,17.967,23.74866667,4.104333672
19.3,27.211,24.672,17.874,23.25233333,3.941783212
26.8,24.879,23.244,18.033,22.052,2.919198178
37.3,23.855,22.19,18.09,21.37833333,2.422520496
51.8,23.615,21.415,18.112,21.04733333,2.261582976
72,22.873,20.776,18.15,20.59966667,1.932183969
100,22.038,20.291,18.179,20.16933333,1.57777741
139,21.762,19.978,18.231,19.99033333,1.441551094
193,21.326,19.683,18.226,19.745,1.266328815
268,21.136,19.488,18.271,19.63166667,1.174034734
373,21.04,19.236,18.245,19.507,1.157032699
518,20.974,19.106,18.267,19.449,1.131429479
720,21.063,19.038,18.214,19.43833333,1.197052027
1000,20.487,18.943,18.033,19.15433333,1.012924918
