Shear Rate [1/s],26.1,26.2,26.3,Avg,SD
0.0372,23724,28688,5725.4,19379.13333,9865.04433
0.0517,20065,28526,5735.3,18108.76667,9406.527459
0.0719,14526,24438,5905.6,14956.53333,7571.94302
0.0999,9800.5,20409,5523.5,11911,6257.538667
0.139,5254.6,12527,4908.9,7563.5,3512.560919
0.193,2974.2,7351.6,2712,4345.933333,2128.021192
0.269,2509.1,5673.5,2211,3464.533333,1566.709121
0.373,1714.6,3445.9,1474.5,2211.666667,878.2220461
0.518,1312.9,2430.7,1198.6,1647.4,555.8388795
0.72,1093.6,1533.2,734.62,1120.473333,326.5722341
1,529.99,1265.5,1063.7,953.0633333,310.2945848
1.39,385.11,793.96,1196,791.69,331.0483476
1.93,354.93,573.41,101.69,343.3433333,192.7530851
2.68,295.13,470.03,67.084,277.4146667,164.9782703
3.73,262.2,380.47,69.864,237.5113333,128.0004414
5.18,223.81,310.75,61.386,198.6486667,103.3454422
7.2,227.47,250.31,59.046,178.942,85.29050167
10,182.28,270.09,57.243,169.871,87.33631857
13.9,150.08,175.32,58.241,127.8803333,50.30899164
19.3,122.77,155.65,56.401,111.607,41.27994208
26.8,109.67,118.57,56.651,94.96366667,27.33371325
37.3,96.55,114.44,55.028,88.67266667,24.88621735
51.8,81.398,117.73,53.527,84.21833333,26.28652395
72,68.86,116.64,51.649,79.04966667,27.49338709
100,61.549,91.607,49.701,67.619,17.63825169
139,54.999,83.813,47.655,62.15566667,15.6047781
193,51.155,73.901,45.789,56.94833333,12.18587076
268,49.251,64.824,44.109,52.728,8.807003009
373,47.904,59.233,42.59,49.909,6.940815562
518,46.319,57.557,41.328,48.40133333,6.787105143
720,42.997,54.519,40.307,45.941,6.164175425
1000,41.523,51.821,39.654,44.33266667,5.349744064
