Shear Rate [1/s],1.1,1.2,1.3,Avg,SD
0.0193,11190,185.97,480.38,3952.116667,5119.367518
0.0268,9159.3,296.58,472.78,3309.553333,4137.020962
0.0372,7372,297.96,427.25,2699.07,3304.682039
0.0517,5337.4,247.94,357.52,1980.953333,2373.787777
0.0719,3628.5,202.73,290.05,1373.76,1594.740427
0.0999,2789.1,173.02,223.06,1061.726667,1221.608223
0.139,2405.9,133.65,172.8,904.1166667,1062.041451
0.193,1719.7,120.32,138.62,659.5466667,749.678838
0.269,1223.1,102.19,139.49,488.26,519.8334295
0.373,912.13,89.197,92.161,364.496,387.2376056
0.518,622.15,74.366,75.859,257.4583333,257.8766709
0.72,419.98,57.997,67.911,181.9626667,168.3523291
1,315.49,62.941,64.642,147.691,118.6538429
1.39,252.95,35.347,53.766,114.021,98.52500586
1.93,166.26,36.17,51.441,84.62366667,58.061284
2.68,127.16,24.729,43.737,65.20866667,44.48821411
3.73,98.388,21.811,36.056,52.085,33.25363001
5.18,88.149,19.686,27.847,45.22733333,30.53252454
7.2,94.611,22.295,24.295,47.067,33.62859846
10,66.161,18.189,22.791,35.71366667,21.6113347
13.9,47.268,17.633,21.502,28.801,13.15332295
19.3,37.79,18.199,19.811,25.26666667,8.879753913
26.8,37.351,17.421,19.447,24.73966667,8.955834796
37.3,31.375,17.066,18.933,22.458,6.351172543
51.8,29.243,16.093,18.611,21.31566667,5.698949689
72,27.559,15.952,18.365,20.62533333,5.00082942
100,26.183,15.974,18.098,20.085,4.398260793
139,24.957,16.129,17.885,19.657,3.815615634
193,23.303,16.359,17.773,19.145,2.996283476
268,23.142,16.51,17.638,19.09666667,2.897313392
373,23.061,16.622,17.565,19.08266667,2.83932672
518,22.831,16.569,17.357,18.919,2.784845178
720,23.206,16.549,17.031,18.92866667,3.030925748
1000,21.7,16.521,16.463,18.228,2.455188927
