Shear Rate [1/s],5.1,5.2,5.3,Avg,SD
0.00994,572.69,32.629,176.33,260.5496667,228.3800708
0.0139,461.24,37.416,22.844,173.8333333,203.3142557
0.0193,424.08,44.21,89.131,185.807,169.4795778
0.0268,347.32,41.122,52.626,147.0226667,141.7094488
0.0372,214.21,28.278,44.326,95.60466667,84.12214689
0.0517,204.55,7.1041,54.451,88.7017,84.1667143
0.0719,156.12,14.109,41.482,70.57033333,61.51628176
0.0999,131.07,19.904,46.49,65.82133333,47.39722373
0.139,110.95,16.789,43.685,57.14133333,39.60116295
0.193,98.967,13.672,34.795,49.14466667,36.26976662
0.269,86.184,12.084,32.374,43.54733333,31.26590298
0.373,76.431,14.994,32.384,41.26966667,25.85656005
0.518,60.771,18.276,29.32,36.12233333,18.00296384
0.72,51.947,19.513,21.136,30.86533333,14.92170755
1,47.157,19.185,21.215,29.18566667,12.73464674
1.39,53.128,18.115,21.107,30.78333333,15.84721032
1.93,39.4,17.452,19.941,25.59766667,9.812477918
2.68,41.79,18.201,19.658,26.54966667,10.79294623
3.73,29.017,17.52,18.741,21.75933333,5.156096995
5.18,37.199,17.468,18.797,24.488,9.00439526
7.2,22.592,17.526,18.505,19.541,2.194092219
10,23.99,17.694,18.588,20.09066667,2.781295781
13.9,22.954,17.578,18.267,19.59966667,2.388492458
19.3,22.279,17.637,18.236,19.384,2.061628644
26.8,25.163,17.667,18.2,20.34333333,3.4149585
37.3,24.308,17.736,18.206,20.08333333,2.993446323
51.8,21.19,17.78,18.099,19.023,1.537824654
72,21.237,17.814,18.051,19.034,1.560758149
100,21.128,17.907,18.069,19.03466667,1.481686951
139,20.334,17.937,17.99,18.75366667,1.117673874
193,19.934,17.937,17.896,18.589,0.951205901
268,19.612,17.988,17.816,18.472,0.809154291
373,19.516,17.995,17.672,18.39433333,0.804025013
518,19.289,18.05,17.503,18.28066667,0.747152074
720,18.384,18.074,17.439,17.96566667,0.393326271
1000,18.26,18.068,17.321,17.883,0.405050614
