Shear Rate [1/s],15.1,15.2,15.3,Avg,SD
0.0193,1043.3,15457,-44.736,5485.188,7065.112951
0.0268,1407.2,10279,6.1082,3897.436067,4548.555319
0.0372,1603.6,6893.7,18.931,2838.743667,2939.364683
0.0517,1470.7,4489.2,21.492,1993.797333,1861.061849
0.0719,1234.6,3279.3,26.262,1513.387333,1342.598436
0.0999,482.31,1907,35.604,808.3046667,798.0121717
0.139,288.09,1264.5,28.302,526.964,532.1916727
0.193,168.35,1023.2,30.065,407.205,439.2175356
0.269,127.48,1134,33.729,431.7363333,498.0481942
0.373,99.963,1785.3,27.117,637.46,812.1900985
0.518,81.114,1814.5,26.525,640.713,830.2918887
0.72,69.321,289.17,25.642,128.0443333,115.3200593
1,69.501,226.97,25.751,107.4073333,86.40964094
1.39,61.437,162.25,23.251,82.31266667,58.63460636
1.93,47.191,125.22,24.098,65.503,43.26593525
2.68,39.689,96.724,24.302,53.57166667,31.15320044
3.73,36.947,80.488,23.927,47.12066667,24.18559213
5.18,35.223,75.045,24.038,44.76866667,21.89015496
7.2,30.681,68.744,23.982,41.13566667,19.71267278
10,29.404,56.069,24.019,36.49733333,14.01278365
13.9,28.628,49.752,23.923,34.101,11.23238197
19.3,27.4,45.841,23.963,32.40133333,9.606307731
26.8,27.089,43.4,24.087,31.52533333,8.48562637
37.3,26.834,38.881,24.123,29.946,6.414205537
51.8,26.912,34.922,24.072,28.63533333,4.594056547
72,25.407,32.322,24.113,27.28066667,3.603691657
100,24.694,31.089,24.215,26.666,3.133640801
139,24.417,29.721,24.176,26.10466667,2.5590259
193,24.238,28.571,24.101,25.63666667,2.075640678
268,23.862,27.798,24,25.22,1.823791655
373,23.512,27.15,23.855,24.839,1.640112395
518,22.991,28.97,23.776,25.24566667,2.652929241
720,22.806,26.173,23.753,24.244,1.417740691
1000,22.573,24.749,23.753,23.69166667,0.889406294
