Shear Rate [1/s],16.1,16.2,16.3,Avg,SD
0.0517,38.798,14.956,373.05,142.268,163.4775395
0.0719,54.914,17.984,192.97,88.62266667,75.30927657
0.0999,55.41,28.205,105.23,62.94833333,31.89391278
0.139,49,31.771,104.15,61.64033333,30.8708431
0.193,46.624,35.731,117.48,66.61166667,36.24320501
0.269,45.805,31.213,95.374,57.464,27.4603677
0.373,42.661,30.733,88.789,54.061,25.03457321
0.518,37.164,33.226,60.518,43.636,12.04514851
0.72,34.524,29.978,46.26,36.92066667,6.859732227
1,32.885,29.497,45.02,35.80066667,6.664168682
1.39,33.778,27.845,44.327,35.31666667,6.816142718
1.93,31.757,27.529,43.219,34.16833333,6.628469976
2.68,31.179,27.625,40.114,32.97266667,5.253995961
3.73,30.824,27.22,38.117,32.05366667,4.532858725
5.18,30.915,27.036,36.592,31.51433333,3.924171618
7.2,30.578,26.959,35.3,30.94566667,3.415109011
10,30.375,26.734,34.643,30.584,3.232216061
13.9,30.747,26.912,33.609,30.42266667,2.743640688
19.3,30.474,27.068,32.22,29.92066667,2.139378311
26.8,30.555,27.242,31.695,29.83066667,1.888702612
37.3,30.634,27.43,31.041,29.70166667,1.614881695
51.8,30.45,27.563,30.142,29.385,1.294470033
72,30.105,27.619,29.579,29.101,1.069707748
100,29.681,27.619,29.119,28.80633333,0.87035676
139,29.194,27.539,28.995,28.576,0.737756509
193,28.739,27.411,28.861,28.337,0.65667242
268,28.54,27.381,28.451,28.124,0.526635231
373,28.355,27.292,28.043,27.89666667,0.446133264
518,28.21,27.269,27.844,27.77433333,0.387307228
720,28.138,27.231,27.517,27.62866667,0.378606509
1000,28.135,27.183,27.516,27.61133333,0.39445518
