Shear Rate [1/s],20.1,20.2,20.3,Avg,SD
0.0372,518.24,627.74,350.64,498.8733333,113.9514614
0.0517,463.34,543.78,119.24,375.4533333,184.1224276
0.0719,425.05,235.59,60.655,240.4316667,148.8030249
0.0999,389.06,142.78,45.01,192.2833333,144.7538961
0.139,358.74,120.66,47.459,175.6196667,132.8894
0.193,273.26,90.623,52.99,138.9576667,96.20082545
0.269,230.98,69.024,45.832,115.2786667,82.35923797
0.373,117.46,61.988,33.337,70.92833333,34.92007018
0.518,42.828,61.683,29.581,44.69733333,13.17207669
0.72,58.823,54.302,28.511,47.212,13.35178917
1,39.789,42.922,28.612,37.10766667,6.141996762
1.39,36.152,38.302,25.629,33.361,5.537357553
1.93,32.787,35.184,25.418,31.12966667,4.155619034
2.68,37.266,32.078,23.762,31.03533333,5.562066123
3.73,29.518,30.857,24.197,28.19066667,2.876370437
5.18,29.884,29.595,23.817,27.76533333,2.794385124
7.2,29.052,29.812,23.538,27.46733333,2.795728329
10,27.572,29.865,23.362,26.933,2.693014791
13.9,26.869,29.131,23.069,26.35633333,2.501210551
19.3,24.859,27.85,23.263,25.324,1.901282199
26.8,24.339,27.06,23.021,24.80666667,1.681747966
37.3,23.748,26.758,23.03,24.512,1.614985655
51.8,23.73,26.663,23.396,24.59633333,1.46770168
72,23.303,26.187,23.27,24.25333333,1.367375182
100,23.101,25.633,23.066,23.93333333,1.201930762
139,22.907,25.384,22.9,23.73033333,1.169322406
193,22.742,25.156,22.73,23.54266667,1.140809459
268,22.575,24.895,22.429,23.29966667,1.129644585
373,22.371,24.625,22.252,23.08266667,1.091675878
518,22.29,24.32,22.057,22.889,1.016330983
720,22.245,24.246,21.898,22.79633333,1.034811523
1000,22.111,24.223,21.654,22.66266667,1.118985354
