Shear Rate [1/s],12.1,12.2,12.3,Avg,SD
0.0268,73.979,1031,25.665,376.8813333,462.9521093
0.0372,88.502,961.84,34.475,361.6056667,425.0024866
0.0517,95.944,641.67,55.581,264.3983333,267.2797857
0.0719,78.117,488.26,64.098,210.1583333,196.7308412
0.0999,74.182,363.8,60.106,166.0293333,139.9629972
0.139,83.448,279.55,59.544,140.8473333,98.56190139
0.193,70.864,229.5,61.47,120.6113333,77.09136616
0.269,60.786,185.54,57.369,101.2316667,59.63131322
0.373,55.382,160.94,49.68,88.66733333,51.15748209
0.518,47.045,160.2,47.083,84.776,53.33282412
0.72,44.19,138.31,39.356,73.952,45.55074834
1,41.04,106.16,36.724,61.308,31.76406137
1.39,38.586,100.61,36.476,58.55733333,29.74820001
1.93,37.527,77.372,34.757,49.88533333,19.46887873
2.68,35.441,74.037,33.917,47.79833333,18.56396806
3.73,33.985,68.962,33.449,45.46533333,16.61609325
5.18,33.09,56.606,32.524,40.74,11.22133551
7.2,32.881,48.225,31.621,37.57566667,7.547764584
10,32.811,44.397,30.808,36.00533333,5.989883379
13.9,32.689,44.986,30.762,36.14566667,6.300367838
19.3,32.271,42.12,30.895,35.09533333,4.998853224
26.8,32.394,42.183,30.979,35.18533333,4.981703881
37.3,32.168,40.829,31.37,34.789,4.283332114
51.8,31.885,39.5,31.701,34.362,3.633891119
72,31.916,37.745,31.886,33.849,2.754915244
100,31.693,36.011,31.387,33.03033333,2.111348595
139,30.976,34.728,30.4,32.03466667,1.918936743
193,30.298,33.629,29.682,31.203,1.733776418
268,29.639,32.703,29.199,30.51366667,1.558479031
373,28.769,31.849,28.58,29.73266667,1.498461507
518,28.025,30.987,27.835,28.949,1.44316966
720,27.368,29.118,27.427,27.971,0.811409062
1000,27.002,27.274,26.995,27.09033333,0.129903383
