Shear Rate [1/s],21.1,21.2,21.3,Avg,SD
0.0193,348.34,1109.7,1739,1065.68,568.5872136
0.0268,19.769,899.45,1036.8,652.0063333,450.5620859
0.0372,171.24,527.71,1202.2,633.7166667,427.5103823
0.0517,133.65,309.61,931.11,458.1233333,342.0796891
0.0719,108.39,221.6,499.8,276.5966667,164.4565232
0.0999,98.924,179.1,398.82,225.6146667,126.7730607
0.139,93.929,154.27,342.23,196.8096667,105.7372974
0.193,87.495,124.96,228.24,146.8983333,59.51614127
0.269,70.243,107.71,223.58,133.8443333,65.27026595
0.373,64.329,87.487,136.17,95.99533333,29.93967404
0.518,57.06,76.242,101.68,78.32733333,18.2756224
0.72,51.423,61.467,88.517,67.13566667,15.66506826
1,48.804,54.947,74.249,59.33333333,10.84103151
1.39,45.414,55.182,72.635,57.74366667,11.25958295
1.93,44.051,49.247,57.316,50.20466667,5.45758801
2.68,43.04,43.938,50.828,45.93533333,3.479007649
3.73,41.898,43.451,49.374,44.90766667,3.221185324
5.18,40.731,43.093,46.964,43.596,2.569348685
7.2,42.449,40.606,45.993,43.016,2.235480411
10,39.901,36.628,45.388,40.639,3.614128111
13.9,38.247,35.594,43.555,39.132,3.309763234
19.3,39.57,35.356,43.987,39.63766667,3.523915846
26.8,39.38,34.915,41.646,38.647,2.796373485
37.3,40.101,34.765,41.294,38.72,2.838700524
51.8,39.99,34.468,40.298,38.252,2.678644931
72,40.063,34.433,39.252,37.916,2.485007981
100,39.937,34.096,37.68,37.23766667,2.405003719
139,39.33,33.592,36.042,36.32133333,2.350841173
193,38.783,32.8,34.694,35.42566667,2.49674112
268,38.388,32.2,33.708,34.76533333,2.634552629
373,37.593,31.323,32.903,33.93966667,2.662609414
518,36.991,30.354,32.192,33.179,2.797983679
720,36.896,29.592,31.497,32.66166667,3.093481354
1000,36.771,28.933,30.765,32.15633333,3.347677537
