Shear Rate [1/s],7.1,7.2,7.3,Avg,SD
0.0193,54.64,141.94,4208.2,1468.26,1937.757936
0.0268,41.578,78.821,3952.9,1357.766333,1835.099602
0.0372,37.709,73.262,3454.6,1188.523667,1602.423678
0.0517,36.027,57.789,2354.4,816.072,1087.798441
0.0719,40.346,55.211,1327.7,474.419,603.3912997
0.0999,33.86,46.494,1188.5,422.9513333,541.3492251
0.139,27.811,42.417,683.37,251.1993333,305.6489791
0.193,29.312,33.637,201.55,88.16633333,80.19379987
0.269,31.157,32.229,211.31,91.56533333,84.67339682
0.373,29.812,28.57,225.86,94.74733333,92.71204223
0.518,32.188,25.114,171.73,76.344,67.50988627
0.72,26.289,23.938,209.62,86.61566667,86.9824937
1,26.821,24.117,238.55,96.496,100.4534124
1.39,26.684,23.049,59.724,36.48566667,16.49885669
1.93,27.455,21.624,46.407,31.82866667,10.5797288
2.68,25.017,20.91,60.383,35.43666667,17.71922727
3.73,24.384,20.37,37.408,27.38733333,7.272705564
5.18,23.83,20.406,31.646,25.294,4.704031746
7.2,22.54,19.909,29.695,24.048,4.134972551
10,21.857,19.956,43.039,28.284,10.46218489
13.9,20.668,19.949,27.614,22.74366667,3.456332385
19.3,20.747,19.991,24.835,21.85766667,2.127795312
26.8,21.039,20.077,24.645,21.92033333,1.966251482
37.3,21.091,20.162,24.246,21.833,1.747891492
51.8,21.014,20.232,24.592,21.946,1.898046013
72,21.02,20.297,23.849,21.722,1.532705451
100,21.039,20.432,22.743,21.40466667,0.978251615
139,20.931,20.436,22.196,21.18766667,0.741084041
193,20.749,20.431,21.763,20.981,0.567992958
268,20.624,20.307,21.363,20.76466667,0.442435934
373,20.454,20.03,20.776,20.42,0.305500682
518,19.777,19.749,20.162,19.896,0.188437434
720,19.028,19.54,19.678,19.41533333,0.279620378
1000,18.349,19.453,19.465,19.089,0.523281951
