Shear Rate [1/s],6.1,6.2,6.3,Avg,SD
0.0517,45.789,84.351,444.53,191.5566667,179.5705757
0.0719,46.736,67.552,191.94,102.076,64.10917946
0.0999,45.569,59.26,108.62,71.14966667,27.07865433
0.139,40.615,56.231,123.57,73.472,35.9937223
0.193,39.206,42.675,90.482,57.45433333,23.3969879
0.269,34.811,81.339,40.037,52.06233333,20.81137794
0.373,34.276,34.744,35.558,34.85933333,0.529690056
0.518,29.627,27.767,31.762,29.71866667,1.63223943
0.72,26.798,25.337,29.341,27.15866667,1.654401067
1,25.562,24.603,28.703,26.28933333,1.751049273
1.39,24.188,24.072,27.691,25.317,1.679339354
1.93,23.472,25.692,25.704,24.956,1.049357899
2.68,22.549,26.572,24.867,24.66266667,1.64872604
3.73,22.599,21.204,23.862,22.555,1.085569896
5.18,22.307,20.569,23.762,22.21266667,1.305242336
7.2,22.096,20.239,23.205,21.84666667,1.223632389
10,21.413,19.999,23.312,21.57466667,1.357348968
13.9,21.36,20.06,22.673,21.36433333,1.066757184
19.3,21.272,20.053,22.758,21.361,1.106103371
26.8,21.282,20.098,22.63,21.33666667,1.034407184
37.3,21.382,20.26,22.587,21.40966667,0.950195185
51.8,21.401,20.212,22.49,21.36766667,0.930288247
72,21.414,20.291,22.44,21.38166667,0.877623432
100,21.479,20.329,22.521,21.443,0.895242239
139,21.572,20.317,22.506,21.465,0.896852645
193,21.572,20.316,22.41,21.43266667,0.860530586
268,21.539,20.367,22.323,21.40966667,0.803753417
373,21.332,20.225,22.059,21.20533333,0.754065573
518,21.083,20.113,21.893,21.02966667,0.727659872
720,20.946,19.984,21.863,20.931,0.767171863
1000,20.907,19.935,21.905,20.91566667,0.80427248
