Shear Rate [1/s],11.1,11.2,11.3,Avg,SD
0.0139,32.1,76.22,1021.6,376.64,456.4111413
0.0193,43.979,163.45,842.81,350.0796667,351.810286
0.0268,65.669,195.51,664.66,308.613,257.2829454
0.0372,72.399,73.699,504.07,216.7226667,203.1859411
0.0517,45.224,60.154,255.76,120.3793333,95.92243361
0.0719,39.919,68.043,186.74,98.234,63.62768722
0.0999,54.018,58.921,154.01,88.983,46.02457966
0.139,46.013,50.969,125.55,74.17733333,36.38226348
0.193,31.688,47.109,92.276,57.02433333,25.70942515
0.269,29.555,36.089,73.112,46.252,19.1792942
0.373,30.716,33.844,63.856,42.80533333,14.93974612
0.518,27.295,31.684,51.479,36.81933333,10.51967047
0.72,25.916,28.308,44.342,32.85533333,8.180792518
1,25.16,25.986,40.548,30.56466667,7.067332233
1.39,24.869,25.083,37.782,29.24466667,6.037438438
1.93,24.058,23.824,33.946,27.276,4.717369606
2.68,23.356,24.519,28.52,25.465,2.211773195
3.73,22.829,24.242,26.946,24.67233333,1.70808125
5.18,22.804,23.241,26.05,24.03166667,1.438284704
7.2,22.697,23.284,24.986,23.65566667,0.970732484
10,22.507,22.888,24.291,23.22866667,0.767117693
13.9,22.352,22.312,23.784,22.816,0.684674132
19.3,22.203,22.114,23.595,22.63733333,0.678146657
26.8,22.111,21.981,23.517,22.53633333,0.695464034
37.3,22.065,21.932,23.221,22.406,0.578844251
51.8,21.978,21.753,22.829,22.18666667,0.463393521
72,21.968,21.593,22.594,22.05166667,0.412916726
100,21.963,21.47,22.263,21.89866667,0.326921329
139,21.916,21.269,22.09,21.75833333,0.353227343
193,21.845,21.084,21.82,21.583,0.352993862
268,21.762,20.961,21.603,21.442,0.34625713
373,21.652,20.781,21.284,21.239,0.357005135
518,21.55,20.589,21.004,21.04766667,0.393539776
720,21.513,20.456,20.935,20.968,0.432148894
1000,21.477,20.381,20.897,20.91833333,0.44769434
