Shear Rate [1/s],18.1,18.2,18.3,Avg,SD
0.0268,1081.7,505.12,123.01,569.9433333,394.0585214
0.0372,1161.3,424.14,102.14,562.5266667,443.3344325
0.0517,599.54,383.38,107.5,363.4733333,201.3670727
0.0719,684.91,284.94,108.74,359.53,241.0611517
0.0999,800.31,248.69,107.14,385.38,299.036541
0.139,512.23,236.27,100.26,282.92,171.3903675
0.193,166.79,187.08,82.251,145.3736667,45.39658071
0.269,126.39,145.92,81.537,117.949,26.9534232
0.373,110.88,124.47,72.766,102.7053333,21.88522767
0.518,92.847,116.66,65.7,91.73566667,20.81916899
0.72,80.294,101.11,57.54,79.648,17.79324239
1,72.835,88.71,55.494,72.34633333,13.56477694
1.39,66.995,76.388,52.978,65.45366667,9.6190369
1.93,66.44,79.652,49.662,65.25133333,12.27218322
2.68,57.712,69.974,48.299,58.66166667,8.874225087
3.73,54.257,68.15,46.916,56.441,8.805228787
5.18,52.881,64.64,46.028,54.51633333,7.685803898
7.2,49.939,58.67,44.473,51.02733333,5.846768585
10,48.766,56.567,44.13,49.821,5.131894452
13.9,47.909,52.908,44.262,48.35966667,3.544070572
19.3,47.712,52.694,44.743,48.383,3.280475677
26.8,48.451,51.077,44.84,48.12266667,2.556807167
37.3,47.906,49.456,44.584,47.31533333,2.032365015
51.8,48.191,47.892,44.011,46.698,1.903912988
72,47.409,45.498,43.199,45.36866667,1.721156652
100,45.552,42.99,42.098,43.54666667,1.463998482
139,43.481,40.845,40.464,41.59666667,1.341472905
193,41.793,39.43,38.335,39.85266667,1.443012204
268,40.454,38.264,36.512,38.41,1.612622709
373,39.579,37.318,34.797,37.23133333,1.953204945
518,38.787,36.425,33.446,36.21933333,2.185298505
720,37.991,35.878,32.285,35.38466667,2.355439426
1000,37.299,35.608,31.427,34.778,2.468031739
