Shear Rate [1/s],23.1,23.2,23.3,Avg,SD
0.0193,18.764,1167.2,2221.1,1135.688,899.3759758
0.0268,23.202,1327.1,1808.6,1052.967333,754.2205883
0.0372,28.357,1506.9,1435.6,990.2856667,680.8088289
0.0517,25.512,1679.5,1495.2,1066.737333,740.0920072
0.0719,31.913,1887.4,1112.1,1010.471,760.9004937
0.269,25.646,327.47,512.51,288.542,200.6583838
0.373,25.825,241.97,290.13,185.975,114.9372677
0.518,24.263,188.83,253.14,155.411,96.38046985
0.72,26.084,134.08,105.66,88.608,45.70821977
1,26.526,144.49,66.191,79.069,49.01196104
1.39,28.003,94.432,60.398,60.94433333,27.12227707
1.93,29.098,72.775,52.824,51.56566667,17.85324684
2.68,28.943,79.47,44.816,51.07633333,21.09720775
3.73,29.962,75.927,45.598,50.49566667,19.0820275
5.18,30.623,60.785,41.788,44.39866667,12.45119128
7.2,30.808,59.716,40.221,43.58166667,12.03851254
10,30.788,51.943,41.723,41.48466667,8.638136695
13.9,31.338,48.113,38.596,39.349,6.869032586
19.3,31.474,46.574,38.491,38.84633333,6.16966754
26.8,31.863,45.078,38.094,38.345,5.397919785
37.3,31.992,43.16,36.825,37.32566667,4.573041026
51.8,31.932,40.432,35.898,36.08733333,3.472692071
72,32.024,37.55,34.919,34.831,2.256838054
100,32.221,36.509,34.519,34.41633333,1.752073312
139,32.368,36.02,32.957,33.78166667,1.600902315
193,32.49,35.006,32.806,33.434,1.119032916
268,32.681,33.235,31.418,32.44466667,0.760378122
373,32.622,31.742,31.109,31.82433333,0.620417243
518,32.523,30.59,30.907,31.34,0.846458898
720,32.371,29.598,30.739,30.90266667,1.137972564
1000,32.161,28.708,30.396,30.42166667,1.409798173
