Shear Rate [1/s],25.1,25.2,25.3,Avg,SD
0.0372,933.91,4462.2,5688.4,3694.836667,2015.428599
0.0517,1029.1,4526.2,5429.8,3661.7,1897.728521
0.0719,1099.2,4368.2,2883.6,2783.666667,1336.433127
0.0999,1183.1,1004.3,1616.1,1267.833333,256.8522446
0.139,1309.5,436.7,1075.5,940.5666667,368.8723477
0.193,1281.6,319.49,676.47,759.1866667,397.1107723
0.269,1232.8,232.48,425.19,630.1566667,433.3347639
0.373,865.17,221.74,289.19,458.7,288.7337543
0.518,518.34,224.95,212.3,318.53,141.3813583
0.72,271.66,146.29,186.73,201.56,52.24529261
1,166.52,153.49,162.55,160.8533333,5.453086791
1.39,118.52,88.721,134.02,113.7536667,18.79784208
1.93,111.66,88.302,105.02,101.6606667,9.827270945
2.68,94.123,82.498,93.205,89.942,5.277027762
3.73,74.959,69.118,85.342,76.473,6.709381044
5.18,73.66,57.062,79.376,70.03266667,9.463854371
7.2,62.992,47.989,71.22,60.73366667,9.617515006
10,59.159,52.648,67.938,59.915,6.264964858
13.9,52.542,47.845,64.276,54.88766667,6.909947146
19.3,52.127,43.313,62.282,52.574,7.750509532
26.8,50.26,43.074,58.77,50.70133333,6.415459731
37.3,48.171,41.594,56.212,48.659,5.977741435
51.8,46.664,41.186,53.105,46.985,4.871202521
72,43.935,42.127,52.4,46.154,4.477841965
100,41.594,38.891,51.068,43.851,5.221134551
139,41.11,38.342,49.882,43.11133333,4.919139581
193,40.854,36.902,49.276,42.344,5.160364587
268,40.926,36.241,48.559,41.90866667,5.07658063
373,40.739,35.774,47.539,41.35066667,4.822475736
518,40.591,35.078,46.692,40.787,4.743420777
720,40.62,34.187,45.979,40.262,4.820714954
1000,40.197,33.678,45.345,39.74,4.773982195
