Shear Rate [1/s],3.1,3.2,3.3,Avg,SD
0.0193,143.84,173.25,880.68,399.2566667,340.6293748
0.0268,145.78,104.53,723.89,324.7333333,282.7483263
0.0372,140,104.93,342.87,195.9333333,104.8817246
0.0517,130.93,88.808,257.91,159.216,71.87463599
0.0719,110.08,85.544,227.08,140.9013333,61.7553008
0.0999,83.546,77.217,194.63,118.4643333,53.91920279
0.139,61.664,70.848,153.38,95.29733333,41.24143216
0.193,54.257,66.316,99.278,73.28366667,19.02864322
0.269,54.836,58.623,79.261,64.24,10.73338011
0.373,44.743,49.564,72.784,55.697,12.24158723
0.518,39.38,46.383,60.251,48.67133333,8.672831615
0.72,35.55,43.662,52.053,43.755,6.737642466
1,33.714,40.387,47.383,40.49466667,5.580865186
1.39,32.767,38.229,46.955,39.317,5.843095298
1.93,31.727,37.259,42.101,37.029,4.238289278
2.68,29.577,35.289,39.624,34.83,4.114491706
3.73,28.814,34.702,36.055,33.19033333,3.143445279
5.18,27.42,33.88,33.362,31.554,2.930818771
7.2,26.978,32.757,32.486,30.74033333,2.662670881
10,26.672,32.821,30.79,30.09433333,2.558061028
13.9,26.549,32.962,30.48,29.997,2.640278899
19.3,26.737,33.075,29.207,29.673,2.608374717
26.8,26.955,33.444,29.521,29.97333333,2.668362086
37.3,27.385,34.267,29.824,30.492,2.848993857
51.8,28.073,34.345,29.895,30.771,2.634391517
72,28.352,34.502,29.935,30.92966667,2.607380081
100,28.603,34.327,29.512,30.814,2.511632537
139,28.092,33.947,28.859,30.29933333,2.598227131
193,27.24,33.379,28.489,29.70266667,2.649096743
268,26.553,32.927,27.954,29.14466667,2.734987426
373,26.076,32.064,27.662,28.60066667,2.533095252
518,25.614,31.844,27.086,28.18133333,2.658701605
720,25.119,32.048,26.509,27.892,2.993022664
1000,24.709,32.453,26.21,27.79066667,3.353233696
