Shear Rate [1/s],10.1,10.2,10.3,Avg,SD
0.0372,31.875,14.864,13.5,20.07966667,8.359128357
0.0517,21.74,-6.6726,14.929,9.9988,12.11195315
0.0719,18.424,-1.7816,25.182,13.94146667,11.45509377
0.0999,20.493,13.623,12.555,15.557,3.517406999
0.139,24.558,19.584,17.819,20.65366667,2.853263667
0.193,24.324,14.359,20.447,19.71,4.10143739
0.269,24.49,17.207,17.198,19.63166667,3.43536241
0.373,16.977,18.12,20.698,18.59833333,1.556290961
0.518,18.079,16.954,16.246,17.093,0.754746315
0.72,17.118,16.984,16.594,16.89866667,0.222269106
1,16.515,16.834,17.522,16.957,0.420205505
1.39,17.221,17.581,17.888,17.56333333,0.272588008
1.93,17.547,17.454,17.671,17.55733333,0.088890694
2.68,17.386,17.572,17.745,17.56766667,0.146593163
3.73,17.591,17.551,17.819,17.65366667,0.118043307
5.18,17.704,17.71,17.856,17.75666667,0.070281972
7.2,17.721,17.849,18.013,17.861,0.119510111
10,17.562,17.786,17.939,17.76233333,0.154816738
13.9,17.638,17.753,17.868,17.753,0.093897107
19.3,17.615,17.768,17.931,17.77133333,0.12902799
26.8,17.65,17.792,17.973,17.805,0.132184215
37.3,17.641,17.768,17.996,17.80166667,0.146870313
51.8,17.577,17.666,17.916,17.71966667,0.143504549
72,17.529,17.623,17.909,17.687,0.16160033
100,17.52,17.633,17.955,17.70266667,0.184293847
139,17.471,17.551,17.944,17.65533333,0.206714511
193,17.334,17.441,17.909,17.56133333,0.24968825
268,17.238,17.384,17.915,17.51233333,0.290900136
373,17.085,17.287,17.862,17.41133333,0.329166962
518,17.025,17.247,17.837,17.36966667,0.342657587
720,17.018,17.231,17.846,17.365,0.3510584
1000,16.957,17.187,17.829,17.32433333,0.368999849
