Shear Rate [1/s],GEL15.1,GEL15.2,GEL15.3,Avg,SD
0.00994,470.51,-453.82,483.92,166.87,438.92825085656085
0.0139,444.02,-259.66,257.4,147.2533333333333,297.6469964385478
0.0193,275.48,-209.14,230.17,98.83666666666666,218.55658219834564
0.0268,163.03,-138.03,168.8,64.60000000000001,143.30040916433794
0.0372,139.54,-76.952,113.87,58.81933333333333,96.57511218850446
0.0517,205.27,-64.754,78.016,72.84400000000001,110.29748359776845
0.0719,83.274,-44.743,62.537,33.68933333333333,56.102459698503615
0.0999,52.179,-33.491,35.06,17.916,37.01598552877752
0.139,42.768,-19.942,24.293,15.706333333333333,26.311393708598732
0.193,33.748,-8.1995,13.996,13.1815,17.13467725111856
0.269,27.274,4.4901,7.4063,13.0568,10.123327433540155
0.373,18.54,9.1294,0.15418,9.274526666666667,7.506681050021744
0.518,11.937,13.686,-3.2757,7.449099999999999,7.617118944850475
0.72,5.3914,16.661,-3.6665,6.128633333333334,8.315024506010525
1.0,0.46074,14.216,-0.28977,4.795656666666666,6.668231534844069
1.39,2.376,6.9406,5.8387,5.0517666666666665,1.9447949923378098
1.93,7.2369,4.6959,4.6107,5.514500000000001,1.218417301256019
2.68,2.8964,7.9641,2.1166,4.3257,2.5923590196318615
3.73,5.7109,4.2524,4.5863,4.849866666666666,0.6239156477886698
5.18,4.9533,3.6789,6.2685,4.9669,1.0572435102662017
7.2,6.1833,3.9748,5.118,5.092033333333334,0.9018032909429614
10.0,4.7754,4.4538,4.7613,4.6635,0.14839198091541206
13.9,4.9341,4.4498,4.7821,4.722,0.2022302812801948
19.3,5.2063,4.3292,4.5546,4.6967,0.3719053732694199
26.8,4.8952,4.5347,4.5972,4.6757,0.15729325054390184
37.3,4.9384,4.4687,4.5709,4.6593333333333335,0.20169260990152518
51.8,4.9478,4.5328,4.3733,4.617966666666667,0.24214676449532727
72.0,4.9369,4.4935,4.3936,4.608,0.2361163696146455
100.0,4.8926,4.4804,4.4366,4.6032,0.20541645503707806
139.0,4.8541,4.5268,4.3721,4.584333333333333,0.20093707693924714
193.0,4.8868,4.5066,4.3691,4.5874999999999995,0.21895498776384753
268.0,4.8462,4.546,4.3544,4.582199999999999,0.20240164689712034
373.0,4.9117,4.5014,4.3885,4.600533333333334,0.22480380087731808
518.0,4.9396,4.5126,4.4105,4.6209,0.2291773258127138
720.0,4.9683,4.5724,4.4525,4.6644000000000005,0.22039420742539206
1000.0,5.1008,4.6487,4.5739,4.774466666666666,0.23276432048080048
