Shear Rate [1/s],9.1,9.2,9.3,Avg,SD
0.0517,776.82,214.88,463.39,485.03,229.9207952
0.0719,785.23,125.31,374.36,428.3,272.0977083
0.0999,698.27,103.77,282.07,361.37,249.0969423
0.139,551.9,93.903,271.32,305.7076667,188.5509599
0.193,454.2,82.139,194.33,243.5563333,155.830615
0.269,310.48,71.225,142.9,174.8683333,100.2570679
0.373,221.73,67.765,183.35,157.615,65.43710963
0.518,165.13,65.133,108.34,112.8676667,40.94895055
0.72,143.22,59.611,79.606,94.14566667,35.64797938
1,117.7,41.536,82.753,80.663,31.1289233
1.39,94.772,41.185,64.274,66.74366667,21.94639048
1.93,78.912,39.336,52.097,56.78166667,16.49291808
2.68,70.45,37.012,50.326,52.596,13.74505089
3.73,62.62,36.144,43.266,47.34333333,11.18669237
5.18,57.961,34.619,37.323,43.301,10.42479749
7.2,50.667,33.219,34.163,39.34966667,8.011837464
10,49.976,32.817,36.826,39.873,7.328982512
13.9,52.744,32.275,32.435,39.15133333,9.611688729
19.3,51.145,32.13,30.826,38.03366667,9.28638431
26.8,50.441,32.688,29.61,37.57966667,9.180738617
37.3,48.278,33.1,29.246,36.87466667,8.215446319
51.8,47.101,33.679,28.704,36.49466667,7.769958659
72,45.434,34.095,28.459,35.996,7.059178753
100,43.148,35.09,28.403,35.547,6.02828848
139,40.806,34.996,29.108,34.97,4.775723889
193,39.055,34.267,28.317,33.87966667,4.392317637
268,37.814,33.384,27.357,32.85166667,4.28561519
373,36.977,32.667,26.647,32.097,4.236421446
518,36.001,32.6,26.244,31.615,4.043713722
720,35.198,33.386,25.943,31.509,4.004672521
1000,34.72,33.04,25.637,31.13233333,3.945851521
