Shear Rate [1/s],GEL20.1,GEL20.2,GEL20.3,Avg,SD
0.0139,894.69,172.38,-107.06,320.0033333,422.0744421
0.0193,470.73,109.27,-44.09,178.6366667,215.8220084
0.0268,362.46,70.762,-34.247,132.9916667,167.826318
0.0372,279.66,48.643,-0.875,109.1426667,122.256912
0.0517,202.42,25.914,5.25,77.86133333,88.47936221
0.0719,147.04,20.11,12.073,59.741,61.81685257
0.0999,106.27,16.426,14.233,45.643,42.87911037
0.139,81.669,12.085,17.496,37.08333333,31.60412404
0.193,61.87,7.1304,24.086,31.0288,22.8802361
0.269,44.518,8.0911,24.074,25.56103333,14.90834692
0.373,32.529,10.357,27.705,23.53033333,9.520864013
0.518,21.136,13.919,25.883,20.31266667,4.918857071
0.72,13.125,18.021,21.346,17.49733333,3.376574234
1,11.316,20.527,15.821,15.888,3.760673433
1.39,15.207,17.029,10.774,14.33666667,2.626704695
1.93,16.44,10.878,13.891,13.73633333,2.273309237
2.68,11.173,14.41,13.979,13.18733333,1.435175793
3.73,13.409,11.175,13.368,12.65066667,1.043588148
5.18,13.132,11.808,12.282,12.40733333,0.547737975
7.2,12.492,11.517,14.023,12.67733333,1.031429537
10,12.611,13.22,13.019,12.95,0.253365349
13.9,12.608,12.313,12.883,12.60133333,0.232749269
19.3,12.29,12.448,13.354,12.69733333,0.468792302
26.8,12.196,12.429,13.009,12.54466667,0.341834593
37.3,12.267,12.41,12.963,12.54666667,0.300124789
51.8,12.33,12.601,13.052,12.661,0.297792993
72,12.286,12.547,13.034,12.62233333,0.309981003
100,12.235,12.439,12.951,12.54166667,0.301185805
139,12.287,12.482,12.907,12.55866667,0.258854313
193,12.276,12.484,12.924,12.56133333,0.270137414
268,12.294,12.477,12.855,12.542,0.233593664
373,12.261,12.463,12.898,12.54066667,0.265789808
518,12.261,12.463,12.898,12.54066667,0.265789808
720,12.279,12.479,12.89,12.54933333,0.254349279
1000,12.275,12.479,12.93,12.56133333,0.27366687
