Shear Rate [1/s],22.1,22.2,22.3,Avg,SD
0.0719,60.79,123.7,2753.1,979.1966667,1254.60198
0.0999,51.455,128.88,1800.8,660.3783333,807.019141
0.139,37.909,69.006,211.86,106.2583333,75.74316187
0.193,30.957,59.858,187.32,92.71166667,67.93069754
0.269,24.556,28.158,154.2,68.97133333,60.28370602
0.373,23.269,28.246,133.82,61.77833333,50.9816564
0.518,25.606,24.039,110.32,53.32166667,40.30898472
0.72,20.476,23.176,92.766,45.47266667,33.45959786
1,25.956,24.581,71.753,40.76333333,21.92019216
1.39,22.443,23.087,57.425,34.31833333,16.34099584
1.93,20.701,22.222,46.879,29.934,11.99800342
2.68,20.228,21.272,35.488,25.66266667,6.960620917
3.73,20.655,21.302,29.314,23.757,3.938260107
5.18,20.974,20.826,26.582,22.794,2.679201871
7.2,20.996,20.019,23.996,21.67033333,1.692173422
10,20.787,19.736,20.852,20.45833333,0.511455657
13.9,20.733,19.371,21.771,20.625,0.982767521
19.3,21.008,19.33,20.855,20.39766667,0.757533864
26.8,20.871,18.976,20.486,20.111,0.817812122
37.3,20.953,18.874,20.119,19.982,0.854258743
51.8,20.896,18.814,19.555,19.755,0.861657705
72,20.929,18.722,19.534,19.72833333,0.911422454
100,20.97,18.625,19.524,19.70633333,0.965984932
139,21.16,18.631,19.436,19.74233333,1.054937702
193,21.06,18.58,19.363,19.66766667,1.035122
268,20.984,18.527,19.283,19.598,1.027498905
373,20.871,18.234,19.252,19.45233333,1.08583066
518,20.997,17.936,19.218,19.38366667,1.255126643
720,20.88,17.772,19.193,19.28166667,1.270383757
1000,20.913,17.605,19.179,19.23233333,1.351011802
