Shear Rate [1/s],4.1,4.2,4.3,Avg,SD
0.00994,31.559,108.8,22.164,54.17433333,38.81614012
0.0139,21.421,75.409,25.64,40.82333333,24.51633801
0.0372,15.271,42.783,18.819,25.62433333,12.21916411
0.0517,21.328,43.26,16.374,26.98733333,11.68290173
0.0719,16.421,32.397,15.889,21.569,7.659632019
0.0999,23.442,33.468,18.873,25.261,6.095631058
0.139,18.585,27.469,19.146,21.73333333,4.062190241
0.193,18.741,25.652,19.175,21.18933333,3.160552097
0.269,17.382,22.375,19.47,19.74233333,2.047459618
0.373,17.71,22.676,20.253,20.213,2.027558302
0.518,18.48,21.492,18.466,19.47933333,1.423181725
0.72,17.278,20.942,16.131,18.117,2.051726265
1,17.215,19.469,16.929,17.871,1.135973004
1.39,17.224,19.788,16.541,17.851,1.397759874
1.93,17.404,19.365,15.94,17.56966667,1.403148919
2.68,17.347,18.698,15.601,17.21533333,1.267768205
3.73,17.63,18.394,15.3,17.108,1.315946301
5.18,17.495,18.364,15.58,17.14633333,1.162996226
7.2,17.734,18.286,15.502,17.174,1.203568029
10,17.494,18.191,15.626,17.10366667,1.082920845
13.9,17.52,18.079,15.522,17.04033333,1.097610232
19.3,17.419,18.146,15.595,17.05333333,1.073059282
26.8,17.395,18.057,15.56,17.004,1.056223777
37.3,17.432,18.095,15.586,17.03766667,1.061569383
51.8,17.412,18.022,15.547,16.99366667,1.052824244
72,17.413,17.972,15.518,16.96766667,1.050165172
100,17.423,17.962,15.54,16.975,1.038283519
139,17.414,17.899,15.528,16.947,1.022733918
193,17.361,17.879,15.548,16.92933333,0.999380586
268,17.349,17.953,15.672,16.99133333,0.964947091
373,17.227,18.009,15.774,17.00333333,0.926040436
518,17.132,18.078,15.865,17.025,0.906616053
720,17.086,18.083,15.952,17.04033333,0.870576182
1000,16.988,18.092,16.018,17.03266667,0.847295829
