SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,stress,strain
70Compression,1-Compress,0.000,3.541,-0,0.011,0.0001400563499208679,-0.0
70Compression,1-Compress,1.000,3.5,0.041,0.011,0.0001400563499208679,0.011578650098842135
70Compression,1-Compress,2.000,3.458,0.083,-0.005,-6.366197723675813e-05,0.02343970629765603
70Compression,1-Compress,3.000,3.417,0.124,-0.005,-6.366197723675813e-05,0.03501835639649817
70Compression,1-Compress,4.000,3.377,0.164,0.011,0.0001400563499208679,0.04631460039536854
70Compression,1-Compress,5.000,3.334,0.207,-0.005,-6.366197723675813e-05,0.05845806269415419
70Compression,1-Compress,6.000,3.294,0.247,-0.005,-6.366197723675813e-05,0.06975430669302457
70Compression,1-Compress,7.000,3.252,0.289,0.028,0.00035650707252584557,0.08161536289183846
70Compression,1-Compress,8.000,3.211,0.33,0.028,0.00035650707252584557,0.0931940129906806
70Compression,1-Compress,9.000,3.169,0.372,-0.005,-6.366197723675813e-05,0.10505506918949449
70Compression,1-Compress,10.000,3.128,0.413,0.028,0.00035650707252584557,0.11663371928833663
70Compression,1-Compress,11.000,3.086,0.455,0.028,0.00035650707252584557,0.12849477548715052
70Compression,1-Compress,12.000,3.045,0.496,-0.005,-6.366197723675813e-05,0.14007342558599267
70Compression,1-Compress,13.000,3.003,0.538,0.011,0.0001400563499208679,0.15193448178480656
70Compression,1-Compress,14.000,2.963,0.578,0.028,0.00035650707252584557,0.16323072578367692
70Compression,1-Compress,15.000,2.922,0.619,0.011,0.0001400563499208679,0.17480937588251907
70Compression,1-Compress,16.000,2.88,0.661,0.011,0.0001400563499208679,0.18667043208133297
70Compression,1-Compress,17.000,2.839,0.702,0.028,0.00035650707252584557,0.1982490821801751
70Compression,1-Compress,18.000,2.797,0.744,0.028,0.00035650707252584557,0.21011013837898898
70Compression,1-Compress,19.000,2.756,0.785,0.011,0.0001400563499208679,0.22168878847783113
70Compression,1-Compress,20.000,2.714,0.827,0.028,0.00035650707252584557,0.233549844676645
70Compression,1-Compress,21.000,2.673,0.868,0.044,0.0005602253996834716,0.24512849477548715
70Compression,1-Compress,22.000,2.631,0.91,0.028,0.00035650707252584557,0.25698955097430104
70Compression,1-Compress,23.000,2.591,0.95,0.028,0.00035650707252584557,0.2682857949731714
70Compression,1-Compress,24.000,2.55,0.991,0.060,0.0007639437268410976,0.2798644450720136
70Compression,1-Compress,25.000,2.508,1.033,0.028,0.00035650707252584557,0.2917255012708274
70Compression,1-Compress,26.000,2.467,1.074,0.028,0.00035650707252584557,0.3033041513696696
70Compression,1-Compress,27.000,2.425,1.116,0.060,0.0007639437268410976,0.31516520756848354
70Compression,1-Compress,28.000,2.384,1.157,0.060,0.0007639437268410976,0.3267438576673256
70Compression,1-Compress,29.000,2.342,1.199,0.044,0.0005602253996834716,0.33860491386613956
70Compression,1-Compress,30.000,2.302,1.239,0.077,0.0009803944494460753,0.3499011578650099
70Compression,1-Compress,31.000,2.259,1.282,0.077,0.0009803944494460753,0.36204462016379557
70Compression,1-Compress,32.000,2.219,1.322,0.060,0.0007639437268410976,0.37334086416266593
70Compression,1-Compress,33.000,2.177,1.364,0.060,0.0007639437268410976,0.3852019203614798
70Compression,1-Compress,34.000,2.136,1.405,0.093,0.0011841127766037012,0.39678057046032195
70Compression,1-Compress,35.000,2.095,1.446,0.077,0.0009803944494460753,0.40835922055916407
70Compression,1-Compress,36.000,2.053,1.488,0.077,0.0009803944494460753,0.42022027675797796
70Compression,1-Compress,37.000,2.013,1.528,0.109,0.0013878311037613274,0.4315165207568484
70Compression,1-Compress,38.000,1.97,1.571,0.109,0.0013878311037613274,0.443659983055634
70Compression,1-Compress,39.000,1.93,1.611,0.109,0.0013878311037613274,0.4549562270545044
70Compression,1-Compress,40.000,1.888,1.653,0.142,0.001808000153523931,0.4668172832533183
70Compression,1-Compress,41.000,1.847,1.694,0.159,0.0020244508761289087,0.4783959333521604
70Compression,1-Compress,42.000,1.805,1.736,0.142,0.001808000153523931,0.4902569895509743
70Compression,1-Compress,43.000,1.764,1.777,0.142,0.001808000153523931,0.5018356396498164
70Compression,1-Compress,44.000,1.723,1.818,0.175,0.0022281692032865346,0.5134142897486585
70Compression,1-Compress,45.000,1.681,1.86,0.159,0.0020244508761289087,0.5252753459474725
70Compression,1-Compress,46.000,1.641,1.9,0.175,0.0022281692032865346,0.5365715899463428
70Compression,1-Compress,47.000,1.598,1.943,0.208,0.002648338253049138,0.5487150522451285
70Compression,1-Compress,48.000,1.558,1.983,0.224,0.0028520565802067645,0.5600112962439989
70Compression,1-Compress,49.000,1.516,2.025,0.224,0.0028520565802067645,0.5718723524428128
70Compression,1-Compress,50.000,1.475,2.066,0.240,0.0030557749073643905,0.5834510025416548
70Compression,1-Compress,51.000,1.433,2.108,0.273,0.0034759439571269944,0.5953120587404689
70Compression,1-Compress,52.000,1.392,2.149,0.273,0.0034759439571269944,0.606890708839311
70Compression,1-Compress,53.000,1.35,2.191,0.290,0.0036923946797319715,0.6187517650381248
70Compression,1-Compress,54.000,1.309,2.232,0.339,0.0043162820566522014,0.6303304151369671
70Compression,1-Compress,55.000,1.269,2.272,0.355,0.004520000383809827,0.6416266591358373
70Compression,1-Compress,56.000,1.227,2.314,0.388,0.004940169433572432,0.6534877153346512
70Compression,1-Compress,57.000,1.186,2.355,0.421,0.005360338483335034,0.6650663654334934
70Compression,1-Compress,58.000,1.144,2.397,0.470,0.005984225860255264,0.6769274216323072
70Compression,1-Compress,59.000,1.103,2.438,0.486,0.006187944187412891,0.6885060717311494
