Test Time,Storage Modulus,Loss Modulus
-47.43,11.930492358126042,0.27608847980949747
-45.18,12.054160132621211,0.3058672791564333
-42.93,12.17782790711638,0.33564607850336925
-40.68,12.301495681611552,0.3654248778503052
-38.43,12.425163456106722,0.39520367719724103
-36.18,12.548831230601891,0.424982476544177
-33.93,12.67249900509706,0.45476127589111287
-31.68,12.796166779592232,0.48454007523804876
-29.43,12.919834554087402,0.5143188745849847
-27.18,13.043502328582571,0.5440976739319205
-24.93,13.16717010307774,0.5738764732788565
-22.68,13.290837877572912,0.6036552726257924
-20.43,13.414505652068081,0.6334340719727283
-18.18,13.538173426563251,0.6632128713196642
-15.93,13.66184120105842,0.6929916706666002
-13.68,13.785508975553592,0.722770470013536
-11.43,13.909176750048761,0.752549269360472
-9.18,14.03284452454393,0.7823280687074078
-6.93,14.1565122990391,0.8121068680543437
-4.68,14.280180073534272,0.8418856674012797
-2.4299999999999997,14.403847848029441,0.8716644667482155
-0.17999999999999972,14.52751562252461,0.9014432660951515
2.0700000000000003,14.65118339701978,0.9312220654420873
4.32,14.774851171514952,0.9610008647890232
6.57,14.898518946010121,0.9907796641359592
8.82,15.02218672050529,1.020558463482895
11.07,15.14585449500046,1.050337262829831
13.32,15.269522269495631,1.080116062176767
15.57,15.393190043990801,1.1098948615237028
17.82,15.51685781848597,1.1396736608706386
20.07,15.64052559298114,1.1694524602175747
22.32,15.764193367476311,1.1992312595645105
24.57,15.88786114197148,1.2290100589114463
26.82,16.011528916466652,1.2587888582583824
29.07,16.13519669096182,1.2885676576053182
31.32,16.25886446545699,1.318346456952254
33.57,16.382532239952162,1.34812525629919
35.82,16.50620001444733,1.377904055646126
38.07,16.6298677889425,1.4076828549930618
40.32,16.75353556343767,1.4374616543399976
42.57,17.051,1.2007
72.57,18.369,2.1331
102.6,20.057,2.3959
132.6,21.841,2.6502
162.6,23.562,2.928
192.6,25.339,3.2298
222.6,27.152,3.4904
252.6,28.972,3.7913
282.6,30.809,4.0844
312.6,32.693,4.3861
342.6,34.594,4.7087
372.6,36.533,4.989
402.6,38.492,5.3069
432.6,40.49,5.5977
462.6,42.514,5.9014
492.6,44.597,6.2041
522.6,46.715,6.5161
552.6,48.852,6.7968
582.6,51.066,7.0807
612.6,53.251,7.3666
642.6,55.446,7.7365
672.6,57.689,7.9282
702.6,60.022,8.1913
732.6,62.38,8.4942
762.6,64.744,8.7425
792.6,67.161,9.033
822.6,69.629,9.3173
852.6,72.119,9.575
882.6,74.689,9.8445
912.6,77.304,10.12
942.6,79.796,10.339
972.6,82.533,10.649
1003.0,85.262,10.9
1033.0,87.895,11.192
1063.0,90.91,11.505
1093.0,93.626,11.655
1123.0,96.224,11.934
1153.0,99.531,12.269
1183.0,102.6,12.508
1213.0,105.82,12.748
1243.0,108.91,13.217
1273.0,112.34,13.215
1303.0,115.79,13.696
1333.0,119.34,14.012
1363.0,123.65,14.421
1393.0,126.48,14.388
1423.0,128.86,15.064
1453.0,133.8,15.017
1483.0,135.98,15.745
1513.0,139.15,16.165
1543.0,142.54,16.466
1573.0,146.1,16.909
1603.0,149.97,17.219
1633.0,153.6,17.555
1663.0,152.73,18.105
1693.0,154.16,18.389
1723.0,157.42,18.741
1753.0,160.64,19.116
1783.0,163.55,19.709
1813.0,167.5,19.381
1843.0,168.38,20.43
1873.0,172.2,20.861
1903.0,175.95,21.281
1933.0,179.06,21.842
1963.0,182.57,21.921
1993.0,187.25,23.026
2023.0,190.92,23.533
2053.0,194.81,24.154
2083.0,198.77,24.778
2113.0,202.12,25.459
2143.0,205.97,26.123
2173.0,209.49,26.909
2203.0,213.77,27.631
2233.0,218.48,28.403
2263.0,223.32,29.362
2293.0,226.37,30.132
2323.0,230.5,31.161
2353.0,235.36,31.945
2383.0,240.43,32.924
2413.0,246.16,34.295
2443.0,251.9,35.614
2473.0,256.62,37.157
2503.0,260.8,39.222
2533.0,267.55,41.297
2563.0,274.77,43.737
2593.0,283.01,46.824
2623.0,292.12,50.613
2653.0,302.78,55.829
2683.0,314.2,61.355
2713.0,330.82,70.047
2743.0,347.05,78.174
2773.0,371.09,90.689
2803.0,395.92,103.3
2833.0,426.23,117.96
2863.0,460.9,134.44
2893.0,505.04,154.49
2923.0,546.71,172.57
2953.0,605.4,196.46
2983.0,664.24,219.05
3013.0,733.72,244.48
3043.0,806.43,270.22
3073.0,894.44,299.68
3103.0,993.2,332.06
3133.0,1070.7,356.71
3163.0,1169.8,387.95
3193.0,1280.8,421.74
3223.0,1369.5,449.36
3253.0,1472.1,480.36
3283.0,1579.3,511.36
3313.0,1698.8,545.35
3343.0,1808.7,577.2
3373.0,1932.8,612.07
3403.0,2063.1,648.9
3433.0,2204.2,687.64
3463.0,2349.3,727.24
3493.0,2495.3,767.46
3523.0,2635.8,805.44
3553.0,2824.6,854.24
3583.0,2978.9,895.35
3613.0,3135.4,938.82
